"simID" "estD" "error"
"1" 1 9.21611721611722 -0.783882783882785
"2" 2 9.01098901098901 -0.989010989010989
"3" 3 9.04761904761905 -0.952380952380953
"4" 4 8.86446886446886 -1.13553113553114
"5" 5 9.21978021978022 -0.780219780219781
"6" 6 9.22710622710623 -0.772893772893774
"7" 7 9.1025641025641 -0.897435897435898
"8" 8 9.08058608058608 -0.91941391941392
"9" 9 9.15750915750916 -0.842490842490843
"10" 10 9.13186813186813 -0.868131868131869
"11" 11 9.42857142857143 -0.571428571428571
"12" 12 8.91575091575092 -1.08424908424908
"13" 13 9.23443223443223 -0.765567765567766
"14" 14 9.13186813186813 -0.868131868131869
"15" 15 9.32600732600733 -0.673992673992673
"16" 16 9.13553113553114 -0.864468864468865
"17" 17 9.14652014652015 -0.853479853479854
"18" 18 8.75824175824176 -1.24175824175824
"19" 19 9.26007326007326 -0.739926739926739
"20" 20 9.24542124542124 -0.754578754578755
"21" 21 9.16117216117216 -0.838827838827839
"22" 22 9.27106227106227 -0.728937728937728
"23" 23 9.3003663003663 -0.699633699633699
"24" 24 9.23809523809524 -0.761904761904763
"25" 25 9.16849816849817 -0.831501831501832
"26" 26 9.12820512820513 -0.871794871794872
"27" 27 9.24542124542124 -0.754578754578755
"28" 28 9.01831501831502 -0.981684981684982
"29" 29 9.15018315018315 -0.84981684981685
"30" 30 9.28937728937729 -0.71062271062271
"31" 31 9.3040293040293 -0.695970695970695
"32" 32 9.26373626373626 -0.736263736263735
"33" 33 9.29304029304029 -0.706959706959706
"34" 34 9.41025641025641 -0.589743589743589
"35" 35 9.11721611721612 -0.882783882783883
"36" 36 9.23809523809524 -0.761904761904763
"37" 37 9.27106227106227 -0.728937728937728
"38" 38 9.13553113553114 -0.864468864468865
"39" 39 9.29304029304029 -0.706959706959706
"40" 40 9.29304029304029 -0.706959706959706
"41" 41 9.26739926739927 -0.732600732600732
"42" 42 9.11355311355311 -0.886446886446887
"43" 43 8.94505494505495 -1.05494505494505
"44" 44 9.5018315018315 -0.498168498168498
"45" 45 9.3040293040293 -0.695970695970695
"46" 46 9.32967032967033 -0.67032967032967
"47" 47 8.97435897435897 -1.02564102564103
"48" 48 9.16849816849817 -0.831501831501832
"49" 49 9.24175824175824 -0.758241758241759
"50" 50 9.19047619047619 -0.80952380952381
"51" 51 9.19047619047619 -0.80952380952381
"52" 52 9.27472527472528 -0.725274725274724
"53" 53 9.22710622710623 -0.772893772893774
"54" 54 9.15018315018315 -0.84981684981685
"55" 55 9.16117216117216 -0.838827838827839
"56" 56 9.10989010989011 -0.890109890109891
"57" 57 9.12820512820513 -0.871794871794872
"58" 58 9.25274725274725 -0.747252747252746
"59" 59 9.25641025641026 -0.743589743589743
"60" 60 9 -1
"61" 61 8.94139194139194 -1.05860805860806
"62" 62 9.17948717948718 -0.820512820512821
"63" 63 9.0989010989011 -0.901098901098901
"64" 64 9.21245421245421 -0.787545787545788
"65" 65 9.08424908424908 -0.915750915750916
"66" 66 9.26007326007326 -0.739926739926739
"67" 67 9.16117216117216 -0.838827838827839
"68" 68 9.32967032967033 -0.67032967032967
"69" 69 8.91208791208791 -1.08791208791209
"70" 70 9.21978021978022 -0.780219780219781
"71" 71 8.9010989010989 -1.0989010989011
"72" 72 9.13186813186813 -0.868131868131869
"73" 73 8.93772893772894 -1.06227106227106
"74" 74 9.45787545787546 -0.542124542124542
"75" 75 9.40659340659341 -0.593406593406593
"76" 76 9.13553113553114 -0.864468864468865
"77" 77 8.99267399267399 -1.00732600732601
"78" 78 9.04029304029304 -0.95970695970696
"79" 79 9.08058608058608 -0.91941391941392
"80" 80 9.14285714285714 -0.857142857142858
"81" 81 8.70695970695971 -1.29304029304029
"82" 82 9.34432234432234 -0.655677655677655
"83" 83 9.48351648351648 -0.516483516483516
"84" 84 9.24908424908425 -0.750915750915752
"85" 85 9.02564102564103 -0.974358974358974
"86" 86 9.58241758241758 -0.417582417582418
"87" 87 9.3040293040293 -0.695970695970695
"88" 88 9.07692307692308 -0.923076923076923
"89" 89 9.47252747252747 -0.527472527472527
"90" 90 9.45054945054945 -0.549450549450549
"91" 91 8.97435897435897 -1.02564102564103
"92" 92 9.15750915750916 -0.842490842490843
"93" 93 9.20879120879121 -0.791208791208792
"94" 94 9.25274725274725 -0.747252747252746
"95" 95 8.93406593406593 -1.06593406593407
"96" 96 9.26373626373626 -0.736263736263735
"97" 97 9.15750915750916 -0.842490842490843
"98" 98 9.14652014652015 -0.853479853479854
"99" 99 9.16849816849817 -0.831501831501832
"100" 100 9.5018315018315 -0.498168498168498
"101" 101 9.03663003663004 -0.963369963369964
"102" 102 9.40659340659341 -0.593406593406593
"103" 103 9.3040293040293 -0.695970695970695
"104" 104 9.47252747252747 -0.527472527472527
"105" 105 9.14285714285714 -0.857142857142858
"106" 106 9.08058608058608 -0.91941391941392
"107" 107 9.05860805860806 -0.941391941391942
"108" 108 9.19047619047619 -0.80952380952381
"109" 109 9.19047619047619 -0.80952380952381
"110" 110 9.32600732600733 -0.673992673992673
"111" 111 9.27472527472528 -0.725274725274724
"112" 112 9.10622710622711 -0.893772893772894
"113" 113 9.26373626373626 -0.736263736263735
"114" 114 8.87545787545788 -1.12454212454212
"115" 115 9.25274725274725 -0.747252747252746
"116" 116 9.30769230769231 -0.692307692307692
"117" 117 9.36263736263736 -0.637362637362637
"118" 118 8.81318681318681 -1.18681318681319
"119" 119 9.04029304029304 -0.95970695970696
"120" 120 8.93772893772894 -1.06227106227106
"121" 121 8.89010989010989 -1.10989010989011
"122" 122 9.31501831501832 -0.684981684981684
"123" 123 9.27838827838828 -0.721611721611721
"124" 124 9.50915750915751 -0.490842490842491
