"","target","estD","fitted.model","ds.unit.cost..mins.","ds.non.search.cost..mins.","Cm","Cw","plot.non.search.cost..mins.","plot.sm.4m.set.up.cost"
"1","Stackhousia",4.02440615277607,"",20.85,5.72,0.580503144654088,0.481320754716981,10.2,11.14
"2","Senecio",0.146489252187088,"",77.9,15.01,0.996540880503145,0.294025157232705,7.08,NA
