"","method","meanD","seD","cvD"
"1","LTS",3.92230533825363,1.68162534940284,0.429
"2","Opt",3.90631843519389,1.41838554007048,0.363
"3","Grouped",4.09629827449146,1.86548881413052,0.455
"4","plot1S",0,0,NA
"5","plot1D",0,0,NA
"6","plot4mS",6.48910714285714,2.22876049899542,0.343
"7","plot4mD",7.20163890010177,3.29940685434783,0.458
