"simID","q","dhat"
1,0.88,0.176
2,0.88,0.177
3,0.88,0.179
4,0.88,0.185
5,0.88,0.1645
6,0.88,0.1955
7,0.88,0.1695
8,0.88,0.1805
9,0.88,0.1715
10,0.88,0.1795
11,0.88,0.1835
12,0.88,0.17
13,0.88,0.172
14,0.88,0.1855
15,0.88,0.173
16,0.88,0.1865
17,0.88,0.1705
18,0.88,0.1695
19,0.88,0.178
20,0.88,0.187
21,0.88,0.159
22,0.88,0.191
23,0.88,0.173
24,0.88,0.2005
25,0.88,0.159
26,0.88,0.182
27,0.88,0.1795
28,0.88,0.1915
29,0.88,0.175
30,0.88,0.182
31,0.88,0.179
32,0.88,0.169
33,0.88,0.1775
34,0.88,0.194
35,0.88,0.179
36,0.88,0.162
37,0.88,0.173
38,0.88,0.188
39,0.88,0.178
40,0.88,0.1835
41,0.88,0.169
42,0.88,0.1655
43,0.88,0.192
44,0.88,0.17
45,0.88,0.1665
46,0.88,0.166
47,0.88,0.178
48,0.88,0.155
49,0.88,0.1895
50,0.88,0.1915
51,0.88,0.1735
52,0.88,0.172
53,0.88,0.1655
54,0.88,0.173
55,0.88,0.1745
56,0.88,0.179
57,0.88,0.175
58,0.88,0.1785
59,0.88,0.1715
60,0.88,0.1695
61,0.88,0.173
62,0.88,0.174
63,0.88,0.1645
64,0.88,0.1795
65,0.88,0.1705
66,0.88,0.177
67,0.88,0.188
68,0.88,0.17
69,0.88,0.1745
70,0.88,0.176
71,0.88,0.1755
72,0.88,0.1765
73,0.88,0.188
74,0.88,0.1545
75,0.88,0.1815
76,0.88,0.1855
77,0.88,0.1935
78,0.88,0.179
79,0.88,0.164
80,0.88,0.174
81,0.88,0.1645
82,0.88,0.184
83,0.88,0.1845
84,0.88,0.172
85,0.88,0.1715
86,0.88,0.1665
87,0.88,0.1775
88,0.88,0.1725
89,0.88,0.162
90,0.88,0.1665
91,0.88,0.1775
92,0.88,0.1725
93,0.88,0.1965
94,0.88,0.187
95,0.88,0.1805
96,0.88,0.173
97,0.88,0.194
98,0.88,0.17
99,0.88,0.1815
100,0.88,0.1735
101,0.88,0.176
102,0.88,0.1965
103,0.88,0.176
104,0.88,0.172
105,0.88,0.2005
106,0.88,0.1855
107,0.88,0.1805
108,0.88,0.1625
109,0.88,0.169
110,0.88,0.1735
111,0.88,0.175
112,0.88,0.1615
113,0.88,0.1785
114,0.88,0.1675
