"simID","q","dhat"
1,0.96,0.178
2,0.96,0.193
3,0.96,0.184
4,0.96,0.1985
5,0.96,0.186
6,0.96,0.1885
7,0.96,0.1835
8,0.96,0.2015
9,0.96,0.184
10,0.96,0.187
11,0.96,0.1825
12,0.96,0.208
13,0.96,0.1865
14,0.96,0.1955
15,0.96,0.2065
16,0.96,0.1705
17,0.96,0.1995
18,0.96,0.178
19,0.96,0.177
20,0.96,0.1895
21,0.96,0.1915
22,0.96,0.1965
23,0.96,0.1815
24,0.96,0.1935
25,0.96,0.19
26,0.96,0.196
27,0.96,0.1925
28,0.96,0.18
29,0.96,0.1765
30,0.96,0.1945
31,0.96,0.193
32,0.96,0.1935
33,0.96,0.1895
34,0.96,0.1955
35,0.96,0.175
36,0.96,0.188
37,0.96,0.184
38,0.96,0.184
39,0.96,0.1835
40,0.96,0.1955
41,0.96,0.1945
42,0.96,0.198
43,0.96,0.1985
44,0.96,0.2105
45,0.96,0.1785
46,0.96,0.1815
47,0.96,0.1915
48,0.96,0.19
49,0.96,0.198
50,0.96,0.1975
51,0.96,0.215
52,0.96,0.205
53,0.96,0.191
54,0.96,0.1815
55,0.96,0.1905
56,0.96,0.199
57,0.96,0.2015
58,0.96,0.1855
59,0.96,0.1895
60,0.96,0.1995
61,0.96,0.21
62,0.96,0.206
63,0.96,0.1995
64,0.96,0.184
65,0.96,0.1985
66,0.96,0.1935
67,0.96,0.1975
68,0.96,0.1765
69,0.96,0.2045
70,0.96,0.196
71,0.96,0.1935
72,0.96,0.183
73,0.96,0.1785
74,0.96,0.1955
75,0.96,0.2105
76,0.96,0.181
77,0.96,0.1845
78,0.96,0.198
79,0.96,0.1795
80,0.96,0.1985
81,0.96,0.1865
82,0.96,0.177
83,0.96,0.1855
84,0.96,0.199
85,0.96,0.184
86,0.96,0.189
87,0.96,0.1855
88,0.96,0.195
89,0.96,0.1785
90,0.96,0.2015
91,0.96,0.1875
92,0.96,0.1805
93,0.96,0.1995
94,0.96,0.1855
95,0.96,0.1775
96,0.96,0.1905
97,0.96,0.1945
98,0.96,0.196
99,0.96,0.1705
100,0.96,0.1995
101,0.96,0.194
102,0.96,0.1865
103,0.96,0.197
104,0.96,0.199
105,0.96,0.189
106,0.96,0.1855
107,0.96,0.1765
108,0.96,0.187
109,0.96,0.2075
110,0.96,0.199
111,0.96,0.1885
112,0.96,0.1915
113,0.96,0.196
114,0.96,0.1855
115,0.96,0.184
116,0.96,0.1865
117,0.96,0.174
118,0.96,0.1995
119,0.96,0.1815
120,0.96,0.177
121,0.96,0.19
122,0.96,0.1885
123,0.96,0.195
124,0.96,0.187
125,0.96,0.174
126,0.96,0.1875
127,0.96,0.2085
128,0.96,0.1915
129,0.96,0.177
130,0.96,0.1985
131,0.96,0.193
132,0.96,0.2025
133,0.96,0.1975
134,0.96,0.2005
135,0.96,0.1845
136,0.96,0.1915
137,0.96,0.1875
138,0.96,0.1805
139,0.96,0.212
140,0.96,0.2005
141,0.96,0.1785
142,0.96,0.1975
143,0.96,0.192
144,0.96,0.202
145,0.96,0.1985
146,0.96,0.195
147,0.96,0.1965
148,0.96,0.1925
149,0.96,0.196
150,0.96,0.1905
151,0.96,0.177
152,0.96,0.196
153,0.96,0.195
154,0.96,0.1945
155,0.96,0.2085
156,0.96,0.1945
157,0.96,0.213
158,0.96,0.1725
159,0.96,0.203
160,0.96,0.217
161,0.96,0.2085
162,0.96,0.192
163,0.96,0.18
164,0.96,0.188
165,0.96,0.1915
166,0.96,0.191
167,0.96,0.203
168,0.96,0.1945
169,0.96,0.1985
170,0.96,0.1985
171,0.96,0.191
172,0.96,0.187
173,0.96,0.1805
174,0.96,0.19
175,0.96,0.1865
176,0.96,0.189
177,0.96,0.1945
178,0.96,0.2015
179,0.96,0.2005
180,0.96,0.192
181,0.96,0.216
182,0.96,0.1935
183,0.96,0.1925
184,0.96,0.1865
185,0.96,0.195
186,0.96,0.1905
187,0.96,0.196
188,0.96,0.1955
189,0.96,0.194
190,0.96,0.1775
191,0.96,0.2025
192,0.96,0.197
193,0.96,0.185
194,0.96,0.1935
195,0.96,0.1855
196,0.96,0.2045
197,0.96,0.193
198,0.96,0.188
199,0.96,0.192
200,0.96,0.1835
201,0.96,0.188
202,0.96,0.1855
203,0.96,0.189
204,0.96,0.1925
205,0.96,0.192
206,0.96,0.1955
207,0.96,0.202
208,0.96,0.2075
209,0.96,0.194
210,0.96,0.1985
211,0.96,0.1835
212,0.96,0.2025
213,0.96,0.196
214,0.96,0.2095
215,0.96,0.185
216,0.96,0.179
217,0.96,0.1965
218,0.96,0.207
219,0.96,0.19
220,0.96,0.198
221,0.96,0.1775
222,0.96,0.1865
223,0.96,0.1885
224,0.96,0.1945
225,0.96,0.1995
226,0.96,0.193
227,0.96,0.1795
228,0.96,0.1865
229,0.96,0.194
230,0.96,0.1925
231,0.96,0.203
232,0.96,0.1685
233,0.96,0.1875
234,0.96,0.193
235,0.96,0.205
236,0.96,0.187
237,0.96,0.2
238,0.96,0.2035
239,0.96,0.1975
240,0.96,0.1955
241,0.96,0.201
242,0.96,0.213
243,0.96,0.199
244,0.96,0.1965
245,0.96,0.205
246,0.96,0.198
247,0.96,0.1965
248,0.96,0.1935
249,0.96,0.195
250,0.96,0.179
251,0.96,0.1975
252,0.96,0.204
253,0.96,0.188
254,0.96,0.1875
255,0.96,0.179
256,0.96,0.1945
257,0.96,0.1925
258,0.96,0.2015
259,0.96,0.184
260,0.96,0.194
261,0.96,0.1715
262,0.96,0.1935
263,0.96,0.187
264,0.96,0.1855
265,0.96,0.2095
266,0.96,0.1975
267,0.96,0.196
268,0.96,0.192
269,0.96,0.1925
270,0.96,0.1945
271,0.96,0.174
272,0.96,0.1885
273,0.96,0.1765
274,0.96,0.199
275,0.96,0.213
276,0.96,0.198
277,0.96,0.1825
278,0.96,0.196
279,0.96,0.185
280,0.96,0.2045
281,0.96,0.2005
282,0.96,0.207
283,0.96,0.194
284,0.96,0.18
285,0.96,0.1925
286,0.96,0.199
287,0.96,0.1865
288,0.96,0.1885
289,0.96,0.188
290,0.96,0.1765
291,0.96,0.197
292,0.96,0.176
293,0.96,0.1925
294,0.96,0.203
295,0.96,0.191
296,0.96,0.1775
297,0.96,0.18
298,0.96,0.2125
299,0.96,0.1935
300,0.96,0.182
301,0.96,0.1945
302,0.96,0.175
303,0.96,0.1935
304,0.96,0.189
305,0.96,0.189
306,0.96,0.21
307,0.96,0.201
308,0.96,0.178
309,0.96,0.1855
310,0.96,0.2025
311,0.96,0.1735
312,0.96,0.1955
313,0.96,0.199
314,0.96,0.185
315,0.96,0.192
316,0.96,0.1875
317,0.96,0.2015
318,0.96,0.1975
319,0.96,0.181
320,0.96,0.2045
321,0.96,0.1915
322,0.96,0.1955
323,0.96,0.2135
324,0.96,0.205
