"simID","q","dhat"
1,0.84,0.177
2,0.84,0.16
3,0.84,0.1865
4,0.84,0.173
5,0.84,0.174
6,0.84,0.1635
7,0.84,0.166
8,0.84,0.165
9,0.84,0.178
10,0.84,0.1665
11,0.84,0.165
12,0.84,0.169
13,0.84,0.162
14,0.84,0.183
15,0.84,0.146
16,0.84,0.181
17,0.84,0.158
18,0.84,0.1595
19,0.84,0.1605
20,0.84,0.1585
21,0.84,0.1705
22,0.84,0.1675
23,0.84,0.1555
24,0.84,0.163
25,0.84,0.17
26,0.84,0.155
27,0.84,0.1755
28,0.84,0.161
29,0.84,0.1455
30,0.84,0.173
31,0.84,0.152
32,0.84,0.1615
33,0.84,0.159
34,0.84,0.1615
35,0.84,0.1545
36,0.84,0.17
37,0.84,0.167
38,0.84,0.1745
39,0.84,0.157
40,0.84,0.1765
41,0.84,0.164
42,0.84,0.1675
43,0.84,0.1565
44,0.84,0.162
45,0.84,0.1645
46,0.84,0.152
47,0.84,0.168
48,0.84,0.1715
49,0.84,0.1455
50,0.84,0.159
51,0.84,0.186
52,0.84,0.1555
53,0.84,0.176
54,0.84,0.1505
55,0.84,0.1755
56,0.84,0.184
57,0.84,0.167
58,0.84,0.167
59,0.84,0.172
60,0.84,0.1665
61,0.84,0.1795
62,0.84,0.169
63,0.84,0.1595
64,0.84,0.163
65,0.84,0.17
66,0.84,0.169
67,0.84,0.191
68,0.84,0.1795
69,0.84,0.1755
70,0.84,0.1635
71,0.84,0.1665
72,0.84,0.173
73,0.84,0.165
74,0.84,0.159
75,0.84,0.156
76,0.84,0.153
77,0.84,0.1635
78,0.84,0.1745
79,0.84,0.1675
80,0.84,0.145
81,0.84,0.181
82,0.84,0.1535
83,0.84,0.1645
84,0.84,0.1685
85,0.84,0.1735
86,0.84,0.1555
87,0.84,0.1785
88,0.84,0.1775
89,0.84,0.1755
90,0.84,0.175
91,0.84,0.158
92,0.84,0.171
93,0.84,0.1805
94,0.84,0.1655
95,0.84,0.1685
96,0.84,0.157
97,0.84,0.1795
98,0.84,0.1415
99,0.84,0.1805
100,0.84,0.1425
101,0.84,0.1685
102,0.84,0.168
103,0.84,0.1595
104,0.84,0.1825
105,0.84,0.161
106,0.84,0.1815
107,0.84,0.148
108,0.84,0.1685
109,0.84,0.169
110,0.84,0.163
111,0.84,0.167
112,0.84,0.1495
113,0.84,0.1585
114,0.84,0.1775
115,0.84,0.158
116,0.84,0.179
117,0.84,0.163
118,0.84,0.1665
119,0.84,0.1705
120,0.84,0.163
121,0.84,0.169
122,0.84,0.1625
123,0.84,0.176
124,0.84,0.1715
125,0.84,0.1635
126,0.84,0.175
127,0.84,0.1705
128,0.84,0.1655
129,0.84,0.1585
130,0.84,0.1745
131,0.84,0.182
132,0.84,0.1625
133,0.84,0.1775
134,0.84,0.1885
135,0.84,0.1675
136,0.84,0.1655
137,0.84,0.1705
138,0.84,0.172
139,0.84,0.153
140,0.84,0.152
141,0.84,0.162
142,0.84,0.1635
143,0.84,0.17
144,0.84,0.1655
145,0.84,0.1725
146,0.84,0.165
147,0.84,0.1595
148,0.84,0.1525
149,0.84,0.172
150,0.84,0.1465
151,0.84,0.1655
152,0.84,0.1815
153,0.84,0.1625
154,0.84,0.159
155,0.84,0.158
156,0.84,0.1715
157,0.84,0.178
158,0.84,0.1645
159,0.84,0.165
160,0.84,0.1655
