"","method","meanD","seD","cvD"
"1","LTS",0.14874730095644,0.0509384742451824,0.342
"2","Opt",0.151911085358619,0.0435659469795282,0.287
"3","plotS",0.153351886209029,0.0388648010717942,0.253
"4","plotD",0.163960705905334,0.0570389250514938,0.348
