"","method","prop.fail","mean.p","S","mean.n_t","se.p"
"1","LTS",0,0.827700798079831,4,174,0.166636674011283
"2","Opt",0,0.853961482804331,6,303,0.063904002188802
"3","plotS",NA,NA,30,58,NA
"4","plotD",0.11,0.997185897105163,16,33,0.00387771660569657
"5","LTSr",0,0.796604690775921,5,257,0.152410126062519
"6","Optr",0,0.824426620782657,8,257,0.125114352979446
"7","plotSr",NA,NA,40,79,NA
"8","plotDr",0.13,0.997036400786517,20,42,0.00414226695445386
