"simID","q","dhat"
1,0.81,0.162
2,0.81,0.162
3,0.81,0.163
4,0.81,0.152
5,0.81,0.165
6,0.81,0.157
7,0.81,0.173
8,0.81,0.16
9,0.81,0.1545
10,0.81,0.162
11,0.81,0.1675
12,0.81,0.156
13,0.81,0.151
14,0.81,0.1595
15,0.81,0.1735
16,0.81,0.166
17,0.81,0.158
18,0.81,0.1915
19,0.81,0.153
20,0.81,0.146
21,0.81,0.1535
22,0.81,0.172
23,0.81,0.181
24,0.81,0.153
25,0.81,0.1635
26,0.81,0.163
27,0.81,0.151
28,0.81,0.168
29,0.81,0.1655
30,0.81,0.171
31,0.81,0.156
32,0.81,0.1615
33,0.81,0.1645
34,0.81,0.1775
35,0.81,0.1625
36,0.81,0.175
37,0.81,0.166
38,0.81,0.1615
39,0.81,0.1595
40,0.81,0.1635
41,0.81,0.1635
42,0.81,0.1615
43,0.81,0.163
44,0.81,0.151
45,0.81,0.153
46,0.81,0.1595
47,0.81,0.1725
48,0.81,0.1685
49,0.81,0.164
50,0.81,0.174
51,0.81,0.1515
52,0.81,0.18
53,0.81,0.1725
54,0.81,0.16
55,0.81,0.168
56,0.81,0.171
57,0.81,0.153
58,0.81,0.173
59,0.81,0.1505
60,0.81,0.156
61,0.81,0.158
62,0.81,0.146
63,0.81,0.1585
64,0.81,0.1735
65,0.81,0.165
66,0.81,0.153
67,0.81,0.1725
68,0.81,0.1615
69,0.81,0.167
70,0.81,0.1665
71,0.81,0.167
72,0.81,0.1545
73,0.81,0.161
74,0.81,0.163
75,0.81,0.1595
76,0.81,0.1625
77,0.81,0.1485
78,0.81,0.1635
79,0.81,0.162
80,0.81,0.145
81,0.81,0.1785
82,0.81,0.1655
83,0.81,0.1625
84,0.81,0.1725
85,0.81,0.1575
86,0.81,0.1555
87,0.81,0.17
88,0.81,0.156
89,0.81,0.155
90,0.81,0.1625
91,0.81,0.156
92,0.81,0.169
93,0.81,0.164
94,0.81,0.162
95,0.81,0.1745
96,0.81,0.1455
97,0.81,0.169
98,0.81,0.165
99,0.81,0.184
100,0.81,0.1645
101,0.81,0.1465
102,0.81,0.172
103,0.81,0.1605
104,0.81,0.166
105,0.81,0.176
106,0.81,0.157
107,0.81,0.162
108,0.81,0.149
109,0.81,0.1695
110,0.81,0.176
111,0.81,0.153
112,0.81,0.1685
113,0.81,0.168
114,0.81,0.159
115,0.81,0.1575
116,0.81,0.1655
117,0.81,0.1545
118,0.81,0.1515
119,0.81,0.163
120,0.81,0.155
121,0.81,0.153
122,0.81,0.1575
123,0.81,0.155
124,0.81,0.171
125,0.81,0.165
126,0.81,0.1495
127,0.81,0.1635
128,0.81,0.1505
129,0.81,0.1625
130,0.81,0.157
131,0.81,0.1555
132,0.81,0.1615
133,0.81,0.159
134,0.81,0.1605
135,0.81,0.1745
136,0.81,0.1705
137,0.81,0.161
138,0.81,0.1725
139,0.81,0.1565
140,0.81,0.146
141,0.81,0.159
142,0.81,0.16
143,0.81,0.1595
144,0.81,0.159
145,0.81,0.1805
146,0.81,0.152
147,0.81,0.1535
148,0.81,0.1505
149,0.81,0.1565
150,0.81,0.1675
151,0.81,0.164
152,0.81,0.166
153,0.81,0.184
154,0.81,0.163
155,0.81,0.1685
156,0.81,0.168
157,0.81,0.169
158,0.81,0.156
159,0.81,0.1655
160,0.81,0.1495
161,0.81,0.1725
162,0.81,0.1615
163,0.81,0.172
164,0.81,0.174
165,0.81,0.153
166,0.81,0.1645
167,0.81,0.1625
168,0.81,0.143
169,0.81,0.1595
170,0.81,0.1745
171,0.81,0.1635
172,0.81,0.1645
173,0.81,0.1675
174,0.81,0.164
175,0.81,0.1675
176,0.81,0.1605
177,0.81,0.1595
178,0.81,0.1595
179,0.81,0.1565
180,0.81,0.161
181,0.81,0.1535
182,0.81,0.163
183,0.81,0.1505
184,0.81,0.1495
185,0.81,0.1745
186,0.81,0.161
187,0.81,0.173
188,0.81,0.17
189,0.81,0.1595
190,0.81,0.1465
191,0.81,0.157
192,0.81,0.1625
193,0.81,0.162
194,0.81,0.161
195,0.81,0.1645
196,0.81,0.1635
197,0.81,0.1555
198,0.81,0.174
199,0.81,0.1755
200,0.81,0.1605
201,0.81,0.162
202,0.81,0.1585
203,0.81,0.1595
204,0.81,0.158
205,0.81,0.1615
206,0.81,0.1555
207,0.81,0.165
208,0.81,0.1705
209,0.81,0.1465
210,0.81,0.158
211,0.81,0.168
212,0.81,0.164
213,0.81,0.1735
214,0.81,0.1695
215,0.81,0.178
216,0.81,0.1475
217,0.81,0.163
218,0.81,0.163
219,0.81,0.1665
220,0.81,0.1595
221,0.81,0.1745
222,0.81,0.1685
223,0.81,0.1655
224,0.81,0.1705
225,0.81,0.1745
226,0.81,0.1665
227,0.81,0.17
228,0.81,0.156
229,0.81,0.166
230,0.81,0.17
231,0.81,0.172
232,0.81,0.1425
233,0.81,0.162
234,0.81,0.1715
235,0.81,0.1695
236,0.81,0.1605
237,0.81,0.164
238,0.81,0.1445
239,0.81,0.1455
240,0.81,0.1565
241,0.81,0.164
242,0.81,0.1595
243,0.81,0.151
244,0.81,0.165
245,0.81,0.164
246,0.81,0.1585
247,0.81,0.149
248,0.81,0.1705
249,0.81,0.161
250,0.81,0.1575
251,0.81,0.1485
252,0.81,0.1635
253,0.81,0.162
254,0.81,0.156
255,0.81,0.173
256,0.81,0.1675
257,0.81,0.158
258,0.81,0.155
259,0.81,0.164
260,0.81,0.1645
261,0.81,0.168
262,0.81,0.1565
263,0.81,0.157
264,0.81,0.1635
265,0.81,0.15
266,0.81,0.152
267,0.81,0.1585
268,0.81,0.1745
269,0.81,0.171
270,0.81,0.148
271,0.81,0.1725
272,0.81,0.167
273,0.81,0.166
274,0.81,0.172
275,0.81,0.16
276,0.81,0.1575
277,0.81,0.1625
278,0.81,0.1645
279,0.81,0.1685
280,0.81,0.176
281,0.81,0.1635
282,0.81,0.1825
283,0.81,0.169
284,0.81,0.184
285,0.81,0.1575
286,0.81,0.161
287,0.81,0.143
288,0.81,0.161
289,0.81,0.161
290,0.81,0.167
291,0.81,0.1525
292,0.81,0.15
293,0.81,0.183
294,0.81,0.174
295,0.81,0.1555
296,0.81,0.1705
297,0.81,0.1765
298,0.81,0.161
299,0.81,0.1545
300,0.81,0.162
301,0.81,0.1715
302,0.81,0.155
303,0.81,0.1585
304,0.81,0.155
305,0.81,0.156
306,0.81,0.168
307,0.81,0.164
308,0.81,0.1455
309,0.81,0.1665
310,0.81,0.1565
311,0.81,0.1535
312,0.81,0.1625
313,0.81,0.1565
314,0.81,0.1725
315,0.81,0.168
316,0.81,0.148
317,0.81,0.165
318,0.81,0.174
319,0.81,0.1545
320,0.81,0.159
321,0.81,0.162
322,0.81,0.1625
323,0.81,0.1595
324,0.81,0.161
325,0.81,0.156
326,0.81,0.16
327,0.81,0.1565
328,0.81,0.1585
329,0.81,0.161
330,0.81,0.1645
331,0.81,0.1685
332,0.81,0.172
333,0.81,0.165
334,0.81,0.164
335,0.81,0.1635
336,0.81,0.1655
337,0.81,0.157
338,0.81,0.1715
339,0.81,0.1605
340,0.81,0.157
341,0.81,0.16
342,0.81,0.1615
343,0.81,0.167
344,0.81,0.156
345,0.81,0.1695
346,0.81,0.163
347,0.81,0.1615
348,0.81,0.1675
349,0.81,0.1635
350,0.81,0.159
351,0.81,0.146
352,0.81,0.154
353,0.81,0.1655
354,0.81,0.162
355,0.81,0.176
356,0.81,0.1665
357,0.81,0.146
358,0.81,0.1545
359,0.81,0.1625
360,0.81,0.1575
361,0.81,0.184
362,0.81,0.1745
363,0.81,0.168
364,0.81,0.159
365,0.81,0.1525
366,0.81,0.1635
367,0.81,0.1585
368,0.81,0.1525
369,0.81,0.1645
370,0.81,0.157
371,0.81,0.168
372,0.81,0.1635
373,0.81,0.166
374,0.81,0.158
375,0.81,0.152
376,0.81,0.149
377,0.81,0.167
378,0.81,0.1665
379,0.81,0.1615
380,0.81,0.155
381,0.81,0.165
382,0.81,0.167
383,0.81,0.159
384,0.81,0.1505
385,0.81,0.1745
386,0.81,0.1685
387,0.81,0.157
388,0.81,0.1645
389,0.81,0.1785
390,0.81,0.1515
391,0.81,0.164
392,0.81,0.1545
393,0.81,0.1525
394,0.81,0.146
395,0.81,0.163
396,0.81,0.148
397,0.81,0.1605
398,0.81,0.157
399,0.81,0.166
400,0.81,0.164
401,0.81,0.1575
402,0.81,0.1575
403,0.81,0.16
404,0.81,0.156
405,0.81,0.1715
406,0.81,0.162
407,0.81,0.163
408,0.81,0.169
409,0.81,0.1725
410,0.81,0.1445
411,0.81,0.1615
412,0.81,0.154
413,0.81,0.165
414,0.81,0.174
415,0.81,0.163
416,0.81,0.1755
417,0.81,0.1695
418,0.81,0.161
419,0.81,0.1685
420,0.81,0.168
421,0.81,0.1605
422,0.81,0.1455
423,0.81,0.1415
424,0.81,0.1705
425,0.81,0.1455
426,0.81,0.144
427,0.81,0.164
428,0.81,0.1545
429,0.81,0.158
430,0.81,0.1665
431,0.81,0.166
432,0.81,0.16
433,0.81,0.17
434,0.81,0.169
435,0.81,0.1745
436,0.81,0.1505
437,0.81,0.1575
438,0.81,0.1385
439,0.81,0.163
440,0.81,0.155
441,0.81,0.177
442,0.81,0.161
443,0.81,0.1665
444,0.81,0.1605
445,0.81,0.167
446,0.81,0.1575
447,0.81,0.165
448,0.81,0.1675
449,0.81,0.1665
450,0.81,0.15
451,0.81,0.1555
452,0.81,0.1515
453,0.81,0.15
454,0.81,0.149
455,0.81,0.1625
456,0.81,0.153
457,0.81,0.149
458,0.81,0.1535
459,0.81,0.162
460,0.81,0.1595
461,0.81,0.153
462,0.81,0.1605
463,0.81,0.152
464,0.81,0.16
465,0.81,0.1405
466,0.81,0.1675
467,0.81,0.1715
468,0.81,0.165
469,0.81,0.171
470,0.81,0.15
471,0.81,0.158
472,0.81,0.1415
473,0.81,0.167
474,0.81,0.1725
475,0.81,0.148
476,0.81,0.1565
477,0.81,0.1655
478,0.81,0.169
479,0.81,0.163
480,0.81,0.1595
481,0.81,0.157
482,0.81,0.1695
483,0.81,0.157
484,0.81,0.183
485,0.81,0.155
486,0.81,0.1645
487,0.81,0.164
488,0.81,0.164
489,0.81,0.157
490,0.81,0.159
491,0.81,0.1765
492,0.81,0.1535
493,0.81,0.1555
494,0.81,0.1505
495,0.81,0.168
496,0.81,0.1455
497,0.81,0.1605
498,0.81,0.1575
499,0.81,0.152
500,0.81,0.1585
501,0.81,0.172
502,0.81,0.1605
503,0.81,0.1725
504,0.81,0.1565
505,0.81,0.165
506,0.81,0.1455
507,0.81,0.1565
508,0.81,0.156
509,0.81,0.175
510,0.81,0.1625
511,0.81,0.145
512,0.81,0.1645
513,0.81,0.1565
514,0.81,0.1735
515,0.81,0.1655
516,0.81,0.156
517,0.81,0.165
518,0.81,0.1765
519,0.81,0.1615
520,0.81,0.155
521,0.81,0.168
522,0.81,0.171
523,0.81,0.158
524,0.81,0.163
525,0.81,0.1515
526,0.81,0.18
527,0.81,0.158
528,0.81,0.169
529,0.81,0.172
530,0.81,0.158
531,0.81,0.166
532,0.81,0.159
533,0.81,0.1525
534,0.81,0.167
535,0.81,0.1605
536,0.81,0.1675
537,0.81,0.184
538,0.81,0.1445
539,0.81,0.154
540,0.81,0.1615
541,0.81,0.168
542,0.81,0.1615
543,0.81,0.1555
544,0.81,0.167
545,0.81,0.1735
546,0.81,0.1585
547,0.81,0.161
548,0.81,0.151
549,0.81,0.17
550,0.81,0.1625
551,0.81,0.1465
552,0.81,0.1695
553,0.81,0.1645
554,0.81,0.1665
555,0.81,0.1495
556,0.81,0.164
557,0.81,0.173
558,0.81,0.17
559,0.81,0.1585
560,0.81,0.166
561,0.81,0.1795
562,0.81,0.16
563,0.81,0.15
564,0.81,0.1635
565,0.81,0.1625
566,0.81,0.159
567,0.81,0.159
568,0.81,0.166
569,0.81,0.157
570,0.81,0.1615
571,0.81,0.1735
572,0.81,0.178
573,0.81,0.1575
574,0.81,0.146
575,0.81,0.1575
576,0.81,0.178
577,0.81,0.14
578,0.81,0.168
579,0.81,0.173
580,0.81,0.163
581,0.81,0.1495
582,0.81,0.158
583,0.81,0.1495
584,0.81,0.1555
585,0.81,0.1635
586,0.81,0.153
587,0.81,0.172
588,0.81,0.157
589,0.81,0.169
590,0.81,0.1585
591,0.81,0.1515
592,0.81,0.15
593,0.81,0.1875
594,0.81,0.18
595,0.81,0.1495
596,0.81,0.1625
597,0.81,0.1585
598,0.81,0.144
599,0.81,0.16
600,0.81,0.1665
601,0.81,0.1625
602,0.81,0.1685
603,0.81,0.156
604,0.81,0.157
605,0.81,0.1605
606,0.81,0.157
607,0.81,0.1655
608,0.81,0.1445
609,0.81,0.164
610,0.81,0.1705
611,0.81,0.178
612,0.81,0.1645
613,0.81,0.157
614,0.81,0.145
615,0.81,0.1655
616,0.81,0.158
617,0.81,0.1695
618,0.81,0.1675
619,0.81,0.1665
620,0.81,0.173
621,0.81,0.1615
622,0.81,0.171
623,0.81,0.158
624,0.81,0.1685
625,0.81,0.1555
626,0.81,0.1485
627,0.81,0.154
628,0.81,0.161
629,0.81,0.1695
630,0.81,0.156
631,0.81,0.162
632,0.81,0.1425
633,0.81,0.1615
634,0.81,0.1595
635,0.81,0.1605
636,0.81,0.1655
637,0.81,0.1605
638,0.81,0.174
639,0.81,0.1505
640,0.81,0.163
641,0.81,0.1625
642,0.81,0.166
643,0.81,0.1635
644,0.81,0.1465
645,0.81,0.1405
646,0.81,0.1505
647,0.81,0.1535
648,0.81,0.165
649,0.81,0.1505
650,0.81,0.163
651,0.81,0.159
652,0.81,0.1455
653,0.81,0.1535
654,0.81,0.1835
655,0.81,0.1685
656,0.81,0.1655
657,0.81,0.1495
658,0.81,0.154
659,0.81,0.154
660,0.81,0.1545
661,0.81,0.165
662,0.81,0.176
663,0.81,0.158
664,0.81,0.155
665,0.81,0.177
666,0.81,0.155
667,0.81,0.158
668,0.81,0.1595
669,0.81,0.156
670,0.81,0.177
671,0.81,0.1475
672,0.81,0.1585
673,0.81,0.1605
674,0.81,0.1565
675,0.81,0.1695
676,0.81,0.1555
677,0.81,0.16
678,0.81,0.1675
679,0.81,0.16
680,0.81,0.1615
681,0.81,0.1595
682,0.81,0.1635
683,0.81,0.1635
684,0.81,0.1685
685,0.81,0.155
686,0.81,0.152
687,0.81,0.154
688,0.81,0.1735
689,0.81,0.167
690,0.81,0.1635
691,0.81,0.1665
692,0.81,0.158
693,0.81,0.1485
694,0.81,0.1685
695,0.81,0.157
696,0.81,0.1615
697,0.81,0.1565
698,0.81,0.163
699,0.81,0.1695
700,0.81,0.1725
701,0.81,0.167
702,0.81,0.157
703,0.81,0.1785
704,0.81,0.1545
705,0.81,0.152
706,0.81,0.166
707,0.81,0.169
708,0.81,0.1615
709,0.81,0.1665
710,0.81,0.147
711,0.81,0.159
712,0.81,0.159
713,0.81,0.1775
714,0.81,0.151
715,0.81,0.154
716,0.81,0.161
717,0.81,0.1555
718,0.81,0.1485
719,0.81,0.147
720,0.81,0.163
721,0.81,0.1575
722,0.81,0.1735
723,0.81,0.15
724,0.81,0.1725
725,0.81,0.1655
726,0.81,0.1635
727,0.81,0.1595
728,0.81,0.164
729,0.81,0.169
730,0.81,0.1445
731,0.81,0.1605
732,0.81,0.162
733,0.81,0.1605
734,0.81,0.1655
735,0.81,0.171
736,0.81,0.1485
737,0.81,0.156
738,0.81,0.159
739,0.81,0.169
740,0.81,0.157
741,0.81,0.1765
742,0.81,0.1635
743,0.81,0.1555
744,0.81,0.164
745,0.81,0.1805
746,0.81,0.1595
747,0.81,0.175
748,0.81,0.165
749,0.81,0.155
750,0.81,0.16
751,0.81,0.1725
752,0.81,0.156
753,0.81,0.1695
754,0.81,0.1705
755,0.81,0.1675
756,0.81,0.165
757,0.81,0.1635
758,0.81,0.156
759,0.81,0.168
760,0.81,0.1485
761,0.81,0.172
762,0.81,0.1675
763,0.81,0.1615
764,0.81,0.1665
765,0.81,0.1715
766,0.81,0.146
767,0.81,0.16
768,0.81,0.157
769,0.81,0.159
770,0.81,0.1735
771,0.81,0.159
772,0.81,0.1605
773,0.81,0.154
774,0.81,0.152
775,0.81,0.1645
776,0.81,0.158
777,0.81,0.149
778,0.81,0.1675
779,0.81,0.1675
780,0.81,0.16
781,0.81,0.1595
782,0.81,0.16
783,0.81,0.161
