"simID","p","dhat"
1,0.84,0.173255813953488
2,0.84,0.165116279069767
3,0.84,0.165348837209302
4,0.84,0.167674418604651
5,0.84,0.174883720930233
6,0.84,0.167209302325581
7,0.84,0.168604651162791
8,0.84,0.164418604651163
9,0.84,0.163023255813953
10,0.84,0.167441860465116
11,0.84,0.168139534883721
12,0.84,0.172093023255814
13,0.84,0.172558139534884
14,0.84,0.170697674418605
15,0.84,0.163255813953488
16,0.84,0.172558139534884
17,0.84,0.170697674418605
18,0.84,0.165116279069767
19,0.84,0.16046511627907
20,0.84,0.162325581395349
21,0.84,0.163953488372093
22,0.84,0.164883720930233
23,0.84,0.17093023255814
24,0.84,0.174883720930233
25,0.84,0.172325581395349
26,0.84,0.165813953488372
27,0.84,0.164186046511628
28,0.84,0.170232558139535
29,0.84,0.164418604651163
30,0.84,0.167674418604651
31,0.84,0.17093023255814
32,0.84,0.166046511627907
33,0.84,0.16093023255814
34,0.84,0.173488372093023
35,0.84,0.168604651162791
36,0.84,0.172790697674419
37,0.84,0.169767441860465
38,0.84,0.168604651162791
39,0.84,0.161395348837209
40,0.84,0.162558139534884
41,0.84,0.156046511627907
42,0.84,0.175581395348837
43,0.84,0.161627906976744
44,0.84,0.15906976744186
45,0.84,0.167674418604651
46,0.84,0.180232558139535
47,0.84,0.171860465116279
48,0.84,0.17046511627907
49,0.84,0.180232558139535
50,0.84,0.169302325581395
51,0.84,0.18046511627907
52,0.84,0.181162790697674
53,0.84,0.177209302325581
54,0.84,0.167209302325581
55,0.84,0.154883720930233
56,0.84,0.177441860465116
57,0.84,0.169302325581395
58,0.84,0.152790697674419
59,0.84,0.163953488372093
60,0.84,0.164418604651163
61,0.84,0.173255813953488
62,0.84,0.167906976744186
63,0.84,0.167441860465116
64,0.84,0.170697674418605
65,0.84,0.163720930232558
66,0.84,0.158837209302326
67,0.84,0.164651162790698
68,0.84,0.162790697674419
69,0.84,0.178139534883721
70,0.84,0.164883720930233
71,0.84,0.172325581395349
72,0.84,0.170232558139535
73,0.84,0.166744186046512
74,0.84,0.183488372093023
75,0.84,0.172790697674419
76,0.84,0.162558139534884
77,0.84,0.160697674418605
78,0.84,0.17093023255814
79,0.84,0.172790697674419
80,0.84,0.161627906976744
81,0.84,0.163023255813953
82,0.84,0.165581395348837
83,0.84,0.169767441860465
84,0.84,0.169302325581395
85,0.84,0.175581395348837
86,0.84,0.166976744186047
87,0.84,0.151627906976744
88,0.84,0.161162790697674
89,0.84,0.157906976744186
90,0.84,0.175581395348837
91,0.84,0.171627906976744
92,0.84,0.171162790697674
93,0.84,0.169302325581395
94,0.84,0.181162790697674
95,0.84,0.17093023255814
96,0.84,0.168837209302326
97,0.84,0.168604651162791
98,0.84,0.174883720930233
99,0.84,0.162790697674419
100,0.84,0.165348837209302
101,0.84,0.173953488372093
102,0.84,0.156279069767442
103,0.84,0.174651162790698
104,0.84,0.17906976744186
105,0.84,0.164186046511628
106,0.84,0.16953488372093
107,0.84,0.168837209302326
108,0.84,0.174651162790698
109,0.84,0.168372093023256
110,0.84,0.168837209302326
111,0.84,0.17
112,0.84,0.17
113,0.84,0.161627906976744
114,0.84,0.152093023255814
115,0.84,0.177906976744186
116,0.84,0.156046511627907
117,0.84,0.166046511627907
118,0.84,0.166279069767442
119,0.84,0.175813953488372
120,0.84,0.173488372093023
121,0.84,0.173953488372093
122,0.84,0.172325581395349
123,0.84,0.175116279069767
124,0.84,0.176279069767442
125,0.84,0.16906976744186
