"p" "precision" "bias"
"1" 0.8 0.037907065606347 -0.0400876818181818
"2" 0.81 0.0372095166269966 -0.0379982727272727
"3" 0.82 0.0377007132439297 -0.0360892272727273
"4" 0.83 0.0374699328872063 -0.0340433488372093
"5" 0.84 0.037600449209147 -0.0320566744186047
"6" 0.85 0.0369587879221359 -0.029934511627907
"7" 0.86 0.037100815001224 -0.0280878139534884
"8" 0.87 0.0362035365415616 -0.0259773488372093
"9" 0.88 0.0362674711984795 -0.0239769069767442
"10" 0.89 0.0363261816823564 -0.0219815
"11" 0.9 0.0358032233362032 -0.0199293095238095
"12" 0.91 0.0363950875268611 -0.0179884761904762
"13" 0.92 0.0355714381125005 -0.0159698333333333
"14" 0.93 0.0361863529958017 -0.0139430487804878
"15" 0.94 0.035973550901166 -0.011996243902439
"16" 0.95 0.035849708519502 -0.0100408048780488
"17" 0.96 0.0357632675234621 -0.00802925000000001
"18" 0.97 0.0365728301603033 -0.00606346153846155
"19" 0.98 0.035487006249838 -0.00402315384615386
"20" 0.99 0.0372807962015054 -0.00203051351351353
