"simID","p","dhat"
1,0.96,0.207
2,0.96,0.18625
3,0.96,0.196
4,0.96,0.1925
5,0.96,0.19075
6,0.96,0.19275
7,0.96,0.1855
8,0.96,0.1875
9,0.96,0.18575
10,0.96,0.1805
11,0.96,0.18425
12,0.96,0.19125
13,0.96,0.18425
14,0.96,0.18875
15,0.96,0.204
16,0.96,0.198
17,0.96,0.19275
18,0.96,0.18325
19,0.96,0.17225
20,0.96,0.19275
21,0.96,0.19825
22,0.96,0.19075
23,0.96,0.19425
24,0.96,0.18825
25,0.96,0.19575
26,0.96,0.1885
27,0.96,0.1845
28,0.96,0.196
29,0.96,0.1965
30,0.96,0.19425
31,0.96,0.189
32,0.96,0.1885
33,0.96,0.1855
34,0.96,0.19
35,0.96,0.187
36,0.96,0.18275
37,0.96,0.18825
38,0.96,0.189
39,0.96,0.19275
40,0.96,0.192
41,0.96,0.18225
42,0.96,0.1955
43,0.96,0.18575
44,0.96,0.19625
45,0.96,0.1875
46,0.96,0.2005
47,0.96,0.19175
48,0.96,0.1835
49,0.96,0.202
50,0.96,0.1855
51,0.96,0.20625
52,0.96,0.20225
53,0.96,0.1895
54,0.96,0.18925
55,0.96,0.198
56,0.96,0.18675
57,0.96,0.18975
58,0.96,0.18575
59,0.96,0.20125
60,0.96,0.19075
61,0.96,0.19575
62,0.96,0.18525
63,0.96,0.19775
64,0.96,0.20075
65,0.96,0.19325
66,0.96,0.17975
67,0.96,0.199
68,0.96,0.19175
69,0.96,0.18675
70,0.96,0.18725
71,0.96,0.1825
72,0.96,0.18625
73,0.96,0.1935
74,0.96,0.1935
75,0.96,0.19225
76,0.96,0.1885
77,0.96,0.18925
78,0.96,0.181
79,0.96,0.2015
80,0.96,0.17975
81,0.96,0.1935
82,0.96,0.19375
83,0.96,0.198
84,0.96,0.18525
85,0.96,0.19175
86,0.96,0.1915
87,0.96,0.19325
88,0.96,0.196
89,0.96,0.18575
90,0.96,0.18825
91,0.96,0.19225
92,0.96,0.18575
93,0.96,0.1915
94,0.96,0.199
95,0.96,0.1945
96,0.96,0.1865
97,0.96,0.204
98,0.96,0.1885
99,0.96,0.19
100,0.96,0.17775
101,0.96,0.20875
102,0.96,0.18875
103,0.96,0.19525
104,0.96,0.1955
105,0.96,0.192
106,0.96,0.191
107,0.96,0.192
108,0.96,0.195
109,0.96,0.18875
110,0.96,0.193
111,0.96,0.202
112,0.96,0.1985
113,0.96,0.195
114,0.96,0.2005
115,0.96,0.1875
116,0.96,0.1745
117,0.96,0.1875
118,0.96,0.18225
119,0.96,0.18625
120,0.96,0.18475
121,0.96,0.18975
122,0.96,0.19875
123,0.96,0.1945
124,0.96,0.18575
125,0.96,0.1985
126,0.96,0.19425
127,0.96,0.1825
128,0.96,0.1935
129,0.96,0.20375
130,0.96,0.19775
131,0.96,0.2005
132,0.96,0.20225
133,0.96,0.2045
134,0.96,0.18925
135,0.96,0.18075
136,0.96,0.18625
137,0.96,0.20175
138,0.96,0.1965
139,0.96,0.19
140,0.96,0.19575
141,0.96,0.19925
142,0.96,0.19225
143,0.96,0.191
144,0.96,0.1935
145,0.96,0.17925
146,0.96,0.1865
147,0.96,0.185
148,0.96,0.18675
149,0.96,0.199
150,0.96,0.20175
151,0.96,0.193
152,0.96,0.19
153,0.96,0.20275
154,0.96,0.18625
155,0.96,0.20025
156,0.96,0.19575
157,0.96,0.18875
158,0.96,0.195
159,0.96,0.181
160,0.96,0.1865
161,0.96,0.19075
162,0.96,0.19275
163,0.96,0.19075
164,0.96,0.198
165,0.96,0.19625
166,0.96,0.1815
167,0.96,0.188
168,0.96,0.18325
169,0.96,0.1795
170,0.96,0.1995
171,0.96,0.196
172,0.96,0.18225
173,0.96,0.18625
174,0.96,0.19475
175,0.96,0.194
176,0.96,0.19175
177,0.96,0.1885
178,0.96,0.19175
179,0.96,0.18825
180,0.96,0.18775
181,0.96,0.194
182,0.96,0.1875
183,0.96,0.18975
184,0.96,0.1835
185,0.96,0.1995
186,0.96,0.18225
187,0.96,0.19125
188,0.96,0.19725
189,0.96,0.2125
190,0.96,0.183
191,0.96,0.19725
192,0.96,0.186
193,0.96,0.1885
194,0.96,0.18475
195,0.96,0.1845
196,0.96,0.18325
197,0.96,0.1935
198,0.96,0.19125
199,0.96,0.1945
200,0.96,0.19325
201,0.96,0.18625
202,0.96,0.19725
203,0.96,0.1865
204,0.96,0.196
205,0.96,0.202
206,0.96,0.188
207,0.96,0.1835
208,0.96,0.19625
209,0.96,0.19925
210,0.96,0.18825
211,0.96,0.19175
212,0.96,0.2015
213,0.96,0.198
214,0.96,0.1835
215,0.96,0.20425
216,0.96,0.18625
217,0.96,0.18075
218,0.96,0.205
219,0.96,0.19225
220,0.96,0.19075
221,0.96,0.19825
222,0.96,0.1935
223,0.96,0.18825
224,0.96,0.19625
225,0.96,0.1815
226,0.96,0.18275
227,0.96,0.19125
228,0.96,0.185
229,0.96,0.192
230,0.96,0.18625
231,0.96,0.1975
232,0.96,0.184
233,0.96,0.19375
234,0.96,0.197
235,0.96,0.1945
236,0.96,0.1825
237,0.96,0.19375
238,0.96,0.178
239,0.96,0.2
240,0.96,0.19125
241,0.96,0.18875
242,0.96,0.199
243,0.96,0.18375
244,0.96,0.1935
245,0.96,0.19275
246,0.96,0.18725
247,0.96,0.195
248,0.96,0.1855
249,0.96,0.19775
250,0.96,0.206
251,0.96,0.19
252,0.96,0.189
253,0.96,0.198
254,0.96,0.18175
255,0.96,0.18425
256,0.96,0.18525
257,0.96,0.19
258,0.96,0.18575
259,0.96,0.197
260,0.96,0.18975
261,0.96,0.185
262,0.96,0.19675
263,0.96,0.189
264,0.96,0.18025
265,0.96,0.18625
266,0.96,0.18975
267,0.96,0.188
268,0.96,0.1775
269,0.96,0.1945
270,0.96,0.1935
271,0.96,0.19625
272,0.96,0.1935
273,0.96,0.19025
274,0.96,0.1985
275,0.96,0.1975
276,0.96,0.20125
277,0.96,0.192
278,0.96,0.201
279,0.96,0.19525
280,0.96,0.1805
281,0.96,0.18625
282,0.96,0.19175
283,0.96,0.193
284,0.96,0.20775
285,0.96,0.1975
286,0.96,0.1935
287,0.96,0.18375
288,0.96,0.19
289,0.96,0.19775
290,0.96,0.19425
291,0.96,0.1965
292,0.96,0.19125
293,0.96,0.2005
294,0.96,0.18875
295,0.96,0.1875
296,0.96,0.18475
297,0.96,0.19225
298,0.96,0.19475
299,0.96,0.1965
300,0.96,0.20275
301,0.96,0.17875
302,0.96,0.191
303,0.96,0.1795
304,0.96,0.1925
305,0.96,0.18875
306,0.96,0.18825
307,0.96,0.18825
308,0.96,0.19675
309,0.96,0.19775
310,0.96,0.20025
311,0.96,0.201
312,0.96,0.1835
313,0.96,0.1965
314,0.96,0.191
315,0.96,0.19525
316,0.96,0.18525
317,0.96,0.192
318,0.96,0.19225
319,0.96,0.19025
320,0.96,0.19075
321,0.96,0.19225
322,0.96,0.18125
323,0.96,0.18725
324,0.96,0.18675
325,0.96,0.1935
326,0.96,0.1755
327,0.96,0.1925
328,0.96,0.19125
329,0.96,0.1805
330,0.96,0.194
331,0.96,0.1925
332,0.96,0.18525
333,0.96,0.19975
334,0.96,0.19175
335,0.96,0.192
336,0.96,0.208
337,0.96,0.19675
338,0.96,0.2075
339,0.96,0.19375
340,0.96,0.19275
341,0.96,0.1835
342,0.96,0.18775
