"prob.det" "mean_estD" "mean_error" "sd_D"
"1" 0.5 4.99975673076923 -5.00024326923077 0.0632588500404759
"2" 0.51 5.09994615384615 -4.90005384615385 0.0639890699008817
"3" 0.52 5.19989480519481 -4.80010519480519 0.0655519465522451
"4" 0.53 5.30015568181818 -4.69984431818182 0.0650433360181292
"5" 0.54 5.39992014802632 -4.60007985197368 0.0659831335795569
"6" 0.55 5.50041529605263 -4.49958470394737 0.0670601776704191
"7" 0.56 5.59983569078947 -4.40016430921053 0.0677518692979642
"8" 0.57 5.7002715 -4.2997285 0.0696353833412151
"9" 0.58 5.79883 -4.20117 0.0692427493215798
"10" 0.59 5.90101900337838 -4.09898099662162 0.0707454185987859
"11" 0.6 6.00002035472973 -3.99997964527027 0.0720894940416539
"12" 0.61 6.10168493150685 -3.89831506849315 0.0716253750042221
"13" 0.62 6.19872671232877 -3.80127328767123 0.0737378375736786
"14" 0.63 6.29940338541667 -3.70059661458333 0.0728617994693775
"15" 0.64 6.40085546875 -3.59914453125 0.0746626027350482
"16" 0.65 6.50092103873239 -3.49907896126761 0.0756896853474616
"17" 0.66 6.60157746478873 -3.39842253521127 0.0754906295646228
"18" 0.67 6.70009205357143 -3.29990794642857 0.0770098596974219
"19" 0.68 6.799609375 -3.200390625 0.0783628389255065
"20" 0.69 6.90073695652174 -3.09926304347826 0.0788999299164077
"21" 0.7 6.99856376811594 -3.00143623188406 0.0807198209944112
"22" 0.71 7.10043988970588 -2.89956011029412 0.0807387147552948
"23" 0.72 7.19985413602941 -2.80014586397059 0.0809019096554465
"24" 0.73 7.29965597014925 -2.70034402985075 0.0832621089860086
"25" 0.74 7.40064402985075 -2.59935597014925 0.082976313775467
"26" 0.75 7.50106846590909 -2.49893153409091 0.0838778931255093
"27" 0.76 7.59837096153846 -2.40162903846154 0.084299307554406
"28" 0.77 7.70090432692308 -2.29909567307692 0.0855394200756433
"29" 0.78 7.79958486328125 -2.20041513671875 0.08785559949083
"30" 0.79 7.900286328125 -2.099713671875 0.0878023828297005
"31" 0.8 7.99989642857143 -2.00010357142857 0.0896577284327118
"32" 0.81 8.10036421370968 -1.89963578629032 0.0903937905849255
"33" 0.82 8.19925161290323 -1.80074838709677 0.0912065386890563
"34" 0.83 8.29927858606557 -1.70072141393443 0.093037204735811
"35" 0.84 8.40004552083333 -1.59995447916667 0.0943178544826558
"36" 0.85 8.49912033898305 -1.50087966101695 0.0943054333522932
"37" 0.86 8.60071907327586 -1.39928092672414 0.0961418738824859
"38" 0.87 8.69852004310345 -1.30147995689655 0.0990091487787043
"39" 0.88 8.79935317982456 -1.20064682017544 0.0983483569398523
"40" 0.89 8.90012522321429 -1.09987477678571 0.100618352534774
"41" 0.9 8.99970295454546 -1.00029704545455 0.10080168408733
"42" 0.91 9.10063854166667 -0.899361458333333 0.102954083087105
"43" 0.92 9.1996070754717 -0.800392924528302 0.104225787507635
"44" 0.93 9.30124669117647 -0.698753308823529 0.106171551682257
"45" 0.94 9.399311 -0.600689 0.109379004638301
"46" 0.95 9.49884196428571 -0.501158035714286 0.110732678365756
"47" 0.96 9.60057952127659 -0.399420478723404 0.112971533360927
"48" 0.97 9.70113027777778 -0.298869722222222 0.116138011482466
"49" 0.98 9.79946770833333 -0.200532291666667 0.119221350725572
"50" 0.99 9.89878009868421 -0.101219901315789 0.129325536862744
