"prob.det" "mean_estD" "mean_error" "sd_D"
"1" 0.5 0.0731848214285714 -0.0733044307585166 0.00681092563403751
"2" 0.51 0.0747126913265306 -0.0717765608605574 0.00695747999180354
"3" 0.52 0.0761785076530612 -0.0703107445340268 0.00697895441720885
"4" 0.53 0.0775928571428571 -0.0688963950442309 0.00701818953349702
"5" 0.54 0.0791404336734694 -0.0673488185136186 0.00708604882212327
"6" 0.55 0.0805391611762815 -0.0659500910108065 0.00718053314789885
"7" 0.56 0.0821083721677647 -0.0643808800193233 0.00723337881761055
"8" 0.57 0.0834820504579785 -0.0630072017291095 0.0073075451867767
"9" 0.58 0.0850732444158766 -0.0614160077712114 0.00750401460650924
"10" 0.59 0.0864066848786759 -0.0600825673084121 0.00754368811202408
"11" 0.6 0.0880730806608358 -0.0584161715262522 0.00743850732031032
"12" 0.61 0.0893638483965015 -0.0571254037905865 0.00767387191871853
"13" 0.62 0.0908045999352122 -0.0556846522518758 0.00766689562972239
"14" 0.63 0.0922516358924522 -0.0542376162946358 0.00770074349452438
"15" 0.64 0.093809306122449 -0.052679946064639 0.00783906464177184
"16" 0.65 0.0953446530612245 -0.0511445991258635 0.00784211264505386
"17" 0.66 0.096589518367347 -0.0498997338197411 0.00795842614395825
"18" 0.67 0.098206106122449 -0.048283146064639 0.0079236879872433
"19" 0.68 0.0995841342988808 -0.0469051178882072 0.00809641660732742
"20" 0.69 0.101001053324556 -0.0454881988625324 0.00825026904435862
"21" 0.7 0.102552139565504 -0.0439371126215844 0.00818747880793013
"22" 0.71 0.104079855167874 -0.0424093970192144 0.00839277604132972
"23" 0.72 0.105457507881201 -0.0410317443058867 0.00834018321697712
"24" 0.73 0.106719429235109 -0.0397698229519793 0.00842004219443609
"25" 0.74 0.108362369337979 -0.0381268828491089 0.00847441480464367
"26" 0.75 0.109788022750084 -0.0367012294370044 0.0085828768847389
"27" 0.76 0.111466242890599 -0.0350230092964891 0.00860103017115716
"28" 0.77 0.112801137504182 -0.033688114682906 0.00874421117679468
"29" 0.78 0.114356552538371 -0.0321326996487173 0.0086873276284993
"30" 0.79 0.115531523022432 -0.0309577291646559 0.00879924175386506
"31" 0.8 0.1171546635183 -0.0293345886687881 0.00901802473960002
"32" 0.81 0.118709387755102 -0.027779864431986 0.0089514015067746
"33" 0.82 0.120204013605442 -0.0262852385816458 0.00898322638508675
"34" 0.83 0.121539290001715 -0.024949962185373 0.00912071771330248
"35" 0.84 0.122915863488252 -0.0235733886988356 0.00917849999620254
"36" 0.85 0.124553095814597 -0.021936156372491 0.00920078298386942
"37" 0.86 0.126098650985818 -0.0203906012012699 0.0094093775428506
"38" 0.87 0.12750525030525 -0.0189840018818377 0.00941172867845804
"39" 0.88 0.128818559218559 -0.0176706929685288 0.00946421782344885
"40" 0.89 0.130236945812808 -0.0162523063742801 0.00967170871240455
"41" 0.9 0.131800603371783 -0.0146886488153045 0.00969275914474831
"42" 0.91 0.133125886143931 -0.0133633660431567 0.00971570305997536
"43" 0.92 0.134666165413534 -0.0118230867735542 0.00981532769097774
"44" 0.93 0.13621751851183 -0.0102717336752585 0.00992507940276795
"45" 0.94 0.137492857142857 -0.00899639504423086 0.00989869414703776
"46" 0.95 0.13931413729128 -0.00717511489580785 0.010092352628589
"47" 0.96 0.140829133121138 -0.00566011906594963 0.0102530836044508
"48" 0.97 0.142228113675377 -0.0042611385117113 0.0104569372308055
"49" 0.98 0.143517739403454 -0.00297151278363431 0.0106018869271937
"50" 0.99 0.145131428571429 -0.00135782361565943 0.0109857569997375
