"prob.det" "mean_estD" "mean_error" "sd_D"
"1" 0.5 2.011675 -2.01273115277607 0.0930315285345919
"2" 0.51 2.05248771929825 -1.97191843347782 0.0944323282468172
"3" 0.52 2.09247719298246 -1.93192895979361 0.0961980509489539
"4" 0.53 2.13340044642857 -1.8910057063475 0.0982662764547532
"5" 0.54 2.17467681818182 -1.84972933459425 0.100584768791481
"6" 0.55 2.21476909090909 -1.80963706186698 0.100713589546824
"7" 0.56 2.25307592592593 -1.77133022685014 0.103578030984933
"8" 0.57 2.29258333333333 -1.73182281944274 0.103046418388592
"9" 0.58 2.33308632075472 -1.69131983202135 0.105843053545186
"10" 0.59 2.37390188679245 -1.65050426598362 0.108158534249583
"11" 0.6 2.41406009615385 -1.61034605662222 0.107850815222576
"12" 0.61 2.45399519230769 -1.57041096046838 0.109358312279141
"13" 0.62 2.49577696078431 -1.52862919199176 0.111280993673417
"14" 0.63 2.5343565 -1.49004965277607 0.113575892495219
"15" 0.64 2.576337 -1.44806915277607 0.113016324926844
"16" 0.65 2.613525 -1.41088115277607 0.115851395998646
"17" 0.66 2.65650459183673 -1.36790156093934 0.116902230751111
"18" 0.67 2.6978921875 -1.32651396527607 0.119835501109491
"19" 0.68 2.7359421875 -1.28846396527607 0.120354943569274
"20" 0.69 2.77416170212766 -1.25024445064841 0.12094372726584
"21" 0.7 2.81755869565217 -1.2068474571239 0.123840813088645
"22" 0.71 2.85801956521739 -1.16638658755868 0.125654710304016
"23" 0.72 2.90005 -1.12435615277607 0.127003375543015
"24" 0.73 2.93846611111111 -1.08594004166496 0.127893173060354
"25" 0.74 2.97811477272727 -1.0462913800488 0.130356843212866
"26" 0.75 3.02047093023256 -1.00393522254351 0.131846184024569
"27" 0.76 3.05796046511628 -0.966445687659791 0.133412271100792
"28" 0.77 3.0987755952381 -0.925630557537975 0.135494878455492
"29" 0.78 3.14028231707317 -0.884123835702899 0.137459133554152
"30" 0.79 3.17902865853659 -0.845377494239485 0.139550722478908
"31" 0.8 3.220096875 -0.80430927777607 0.141393129821432
"32" 0.81 3.25860192307692 -0.765804229699147 0.144813472386931
"33" 0.82 3.30250448717949 -0.721901665596583 0.145050821964736
"34" 0.83 3.33999144736842 -0.684414705407649 0.148347299806858
"35" 0.84 3.38033513513514 -0.644071017640935 0.150875366514048
"36" 0.85 3.42235202702703 -0.602054125749043 0.153854242104554
"37" 0.86 3.46238472222222 -0.562021430553848 0.153694947000054
"38" 0.87 3.50005142857143 -0.524354724204641 0.158101933786544
"39" 0.88 3.54101691176471 -0.483389241011364 0.16256878226653
"40" 0.89 3.58144772727273 -0.442958425503343 0.16485626635703
"41" 0.9 3.62166893939394 -0.402737213382131 0.164136896828578
"42" 0.91 3.6617515625 -0.36265459027607 0.171063361728538
"43" 0.92 3.70374274193548 -0.320663410840586 0.172436379002225
"44" 0.93 3.74538333333333 -0.279022819442737 0.176685187202122
"45" 0.94 3.78613534482759 -0.238270807948484 0.179221789386687
"46" 0.95 3.82414351851852 -0.200262634257551 0.188676888652563
"47" 0.96 3.86308846153846 -0.161317691237608 0.191246382539518
"48" 0.97 3.906067 -0.11833915277607 0.196935166633554
"49" 0.98 3.94858586956522 -0.0758202832108526 0.207457856083656
"50" 0.99 3.98316125 -0.04124490277607 0.223993140332755
