"simID" "estD" "error"
"1" 1 3.29761904761905 -0.726787105157022
"2" 2 3.10714285714286 -0.917263295633213
"3" 3 3.01785714285714 -1.00654900991893
"4" 4 3.23809523809524 -0.786310914680832
"5" 5 3.14285714285714 -0.881549009918927
"6" 6 2.98214285714286 -1.04226329563321
"7" 7 2.9047619047619 -1.11964424801417
"8" 8 3.10119047619048 -0.923215676585594
"9" 9 2.94642857142857 -1.0779775813475
"10" 10 2.96428571428571 -1.06012043849036
"11" 11 3.13690476190476 -0.887501390871308
"12" 12 3.08333333333333 -0.941072819442736
"13" 13 3.38095238095238 -0.643453771823689
"14" 14 3.01785714285714 -1.00654900991893
"15" 15 3.07142857142857 -0.952977581347498
"16" 16 2.94047619047619 -1.08392996229988
"17" 17 3.0297619047619 -0.994644248014165
"18" 18 2.92857142857143 -1.09583472420464
"19" 19 3.10714285714286 -0.917263295633213
"20" 20 3.19642857142857 -0.827977581347498
"21" 21 2.91071428571429 -1.11369186706178
"22" 22 3.0952380952381 -0.929168057537975
"23" 23 3.26785714285714 -0.756549009918927
"24" 24 3.26190476190476 -0.762501390871308
"25" 25 2.92261904761905 -1.10178710515702
"26" 26 3.20833333333333 -0.816072819442736
"27" 27 3.16071428571429 -0.863691867061784
"28" 28 3.19047619047619 -0.833929962299879
"29" 29 3.125 -0.89940615277607
"30" 30 3 -1.02440615277607
"31" 31 3.1547619047619 -0.869644248014165
"32" 32 3.13095238095238 -0.893453771823689
"33" 33 2.98809523809524 -1.03631091468083
"34" 34 3.03571428571429 -0.988691867061784
"35" 35 3.10714285714286 -0.917263295633213
"36" 36 2.99404761904762 -1.03035853372845
"37" 37 3.17857142857143 -0.845834724204642
"38" 38 3.0952380952381 -0.929168057537975
"39" 39 3.18452380952381 -0.839882343252261
"40" 40 3.07738095238095 -0.947025200395117
"41" 41 3.04761904761905 -0.976787105157022
"42" 42 3.23214285714286 -0.792263295633213
"43" 43 3.11904761904762 -0.905358533728451
"44" 44 2.91666666666667 -1.1077394861094
"45" 45 2.96428571428571 -1.06012043849036
"46" 46 3.33928571428571 -0.685120438490356
"47" 47 3.16666666666667 -0.857739486109403
"48" 48 3.13095238095238 -0.893453771823689
"49" 49 3.04166666666667 -0.982739486109403
"50" 50 3.05357142857143 -0.970834724204642
"51" 51 3.20833333333333 -0.816072819442736
"52" 52 3.01785714285714 -1.00654900991893
"53" 53 2.9702380952381 -1.05416805753797
"54" 54 3.19047619047619 -0.833929962299879
"55" 55 2.97619047619048 -1.04821567658559
"56" 56 3.14880952380952 -0.875596628966546
"57" 57 3.11904761904762 -0.905358533728451
"58" 58 3.10119047619048 -0.923215676585594
"59" 59 3.10714285714286 -0.917263295633213
"60" 60 3.01190476190476 -1.01250139087131
"61" 61 3.18452380952381 -0.839882343252261
"62" 62 3.26785714285714 -0.756549009918927
"63" 63 2.97619047619048 -1.04821567658559
"64" 64 3.18452380952381 -0.839882343252261
"65" 65 3.05952380952381 -0.964882343252261
"66" 66 3.02380952380952 -1.00059662896655
"67" 67 3.16666666666667 -0.857739486109403
"68" 68 3.07738095238095 -0.947025200395117
"69" 69 3.05952380952381 -0.964882343252261
"70" 70 3.11904761904762 -0.905358533728451
"71" 71 3.0952380952381 -0.929168057537975
"72" 72 3.11904761904762 -0.905358533728451
"73" 73 3.16071428571429 -0.863691867061784
"74" 74 3.18452380952381 -0.839882343252261
"75" 75 3.01785714285714 -1.00654900991893
"76" 76 3.17261904761905 -0.851787105157022
"77" 77 2.82738095238095 -1.19702520039512
"78" 78 3.26190476190476 -0.762501390871308
"79" 79 2.92261904761905 -1.10178710515702
"80" 80 2.85119047619048 -1.17321567658559
"81" 81 3.31547619047619 -0.708929962299879
"82" 82 2.98809523809524 -1.03631091468083
"83" 83 2.80357142857143 -1.22083472420464
"84" 84 3.02380952380952 -1.00059662896655
"85" 85 3.18452380952381 -0.839882343252261
"86" 86 3.08333333333333 -0.941072819442736
"87" 87 3.08333333333333 -0.941072819442736
"88" 88 3.11309523809524 -0.911310914680832
"89" 89 3.07142857142857 -0.952977581347498
"90" 90 3.0952380952381 -0.929168057537975
"91" 91 3.11904761904762 -0.905358533728451
"92" 92 2.93452380952381 -1.08988234325226
"93" 93 3.30952380952381 -0.714882343252261
"94" 94 3.23809523809524 -0.786310914680832
"95" 95 3.14285714285714 -0.881549009918927
"96" 96 3.10714285714286 -0.917263295633213
"97" 97 3.03571428571429 -0.988691867061784
"98" 98 2.91666666666667 -1.1077394861094
"99" 99 3.14285714285714 -0.881549009918927
"100" 100 3.04166666666667 -0.982739486109403
"101" 101 3.02380952380952 -1.00059662896655
"102" 102 3.13095238095238 -0.893453771823689
"103" 103 3.46428571428571 -0.560120438490356
"104" 104 3.16071428571429 -0.863691867061784
"105" 105 3.19047619047619 -0.833929962299879
"106" 106 3.13690476190476 -0.887501390871308
"107" 107 3.5297619047619 -0.494644248014165
"108" 108 2.98809523809524 -1.03631091468083
"109" 109 2.95833333333333 -1.06607281944274
"110" 110 3.36309523809524 -0.661310914680832
"111" 111 3.13690476190476 -0.887501390871308
"112" 112 3.04761904761905 -0.976787105157022
"113" 113 3.03571428571429 -0.988691867061784
"114" 114 2.82738095238095 -1.19702520039512
"115" 115 3.06547619047619 -0.958929962299879
"116" 116 3.25595238095238 -0.768453771823689
"117" 117 3.19642857142857 -0.827977581347498
"118" 118 3.04761904761905 -0.976787105157022
"119" 119 3.0952380952381 -0.929168057537975
"120" 120 3.20238095238095 -0.822025200395117
"121" 121 2.99404761904762 -1.03035853372845
"122" 122 3.47619047619048 -0.548215676585594
"123" 123 2.89880952380952 -1.12559662896655
"124" 124 3.24404761904762 -0.780358533728451
"125" 125 3.02380952380952 -1.00059662896655
"126" 126 3.5 -0.52440615277607
"127" 127 3.27380952380952 -0.750596628966546
