"method" "idx" "estD" "seD" "cvD"
"1" "LTS" 1 8.47739872610823 3.22251923868253 0.380130667766987
"2" "LTS" 2 3.29298715915258 1.8937751012825 0.57509337563583
"3" "LTS" 3 4.34026697152002 2.5618795666417 0.59025852175736
"4" "LTS" 4 6.12205179221527 2.61727458136398 0.427515916263902
"5" "LTS" 5 2.9644107283482 2.12127274289695 0.715579903490276
"6" "LTS" 6 4.39607415189594 2.39592838668294 0.545015462409709
"7" "LTS" 7 5.49010502942797 2.84395943159804 0.518015487199953
"8" "LTS" 8 2.27546325692938 2.13237847453992 0.937118394703263
"9" "LTS" 9 7.65968692860724 3.13710177911393 0.409560052304167
"10" "LTS" 10 5.93065609162939 3.13423399416664 0.528480145491886
"11" "LTS" 11 4.87846234541544 2.88630576656217 0.591642522212884
"12" "LTS" 12 5.7086155186496 2.79424579457986 0.489478716065442
"13" "LTS" 13 6.76018530437787 3.12738817384514 0.462618705410318
"14" "LTS" 14 5.65702095362465 2.7955569432371 0.494174754902735
"15" "LTS" 15 4.4475440509591 2.3992441507847 0.539453712722038
"16" "LTS" 16 6.62064351016653 3.22944028954197 0.487783443495017
"17" "LTS" 17 6.10383802923017 3.0160170291749 0.494118129401819
"18" "LTS" 18 3.47564440223009 2.03728646668737 0.586160789458258
"19" "LTS" 19 2.42635151594698 1.64151699807598 0.676537174142848
"20" "LTS" 20 2.66981588936885 1.5293117523852 0.572815435878888
"21" "LTS" 21 4.2061179943625 2.50596207208151 0.595789769911419
"22" "LTS" 22 6.17825981554872 3.05727698133159 0.494844353038924
"23" "LTS" 23 4.87846230445415 2.88630574250003 0.591642522248203
"24" "LTS" 24 6.81189295030534 3.27214734059975 0.480358009802999
"25" "LTS" 25 0.828040631795569 0.721708783702192 0.871586195157113
"26" "LTS" 26 6.64514299390231 2.85233888033445 0.429236644411084
"27" "LTS" 27 2.35615133737379 1.71650575849553 0.728521012749876
"28" "LTS" 28 1.0225402275341 0.915600669105805 0.895417749298547
"29" "LTS" 29 3.35019015608084 1.86657229653614 0.55715413441478
"30" "LTS" 30 4.98239381540295 2.84324201531009 0.570657824461863
"31" "LTS" 31 3.54532635804962 2.03312123696574 0.573465185327598
"32" "LTS" 32 3.46249062377508 2.33349147232836 0.673934380155579
"33" "LTS" 33 1.50936571305007 1.40299694480827 0.929527504618577
