"p" "precision" "bias"
"1" 0.8 0.0277591244360534 -0.039977975
"2" 0.81 0.0278168948127671 -0.0379458227848101
"3" 0.82 0.0277629932062728 -0.0359878227848101
"4" 0.83 0.0280960614481727 -0.0339134230769231
"5" 0.84 0.0277492154816169 -0.0320063076923077
"6" 0.85 0.0275161177799251 -0.0299543116883117
"7" 0.86 0.027482141820071 -0.028035
"8" 0.87 0.0275310195949862 -0.0259790657894737
"9" 0.88 0.0275593555338348 -0.0239802266666667
"10" 0.89 0.0273986812089056 -0.02199864
"11" 0.9 0.0273360755197997 -0.0200758648648649
"12" 0.91 0.0273011262483805 -0.0179701232876712
"13" 0.92 0.0274898624820724 -0.0160782916666667
"14" 0.93 0.0274382001466214 -0.0140797183098592
"15" 0.94 0.0278670354449931 -0.0119963142857143
"16" 0.95 0.0277815652078571 -0.0100729710144928
"17" 0.96 0.0278445605719001 -0.00806011764705883
"18" 0.97 0.0278121366519373 -0.00599739393939395
"19" 0.98 0.0280708351113438 -0.00400420312500001
"20" 0.99 0.0292209344622054 -0.00200920000000001
