"simID","p","dhat"
1,0.83,0.17474358974359
2,0.83,0.162307692307692
3,0.83,0.174615384615385
4,0.83,0.167435897435897
5,0.83,0.173333333333333
6,0.83,0.168589743589744
7,0.83,0.166282051282051
8,0.83,0.165128205128205
9,0.83,0.159615384615385
10,0.83,0.169615384615385
11,0.83,0.166153846153846
12,0.83,0.165128205128205
13,0.83,0.166666666666667
14,0.83,0.158717948717949
15,0.83,0.170641025641026
16,0.83,0.158974358974359
17,0.83,0.173846153846154
18,0.83,0.158461538461538
19,0.83,0.179487179487179
20,0.83,0.166153846153846
21,0.83,0.166923076923077
22,0.83,0.171666666666667
23,0.83,0.169615384615385
24,0.83,0.167948717948718
25,0.83,0.170897435897436
26,0.83,0.158333333333333
27,0.83,0.16525641025641
28,0.83,0.156282051282051
29,0.83,0.16448717948718
30,0.83,0.158205128205128
31,0.83,0.167564102564103
32,0.83,0.171153846153846
33,0.83,0.159358974358974
34,0.83,0.165897435897436
35,0.83,0.166025641025641
36,0.83,0.165897435897436
37,0.83,0.160641025641026
38,0.83,0.164615384615385
39,0.83,0.176153846153846
40,0.83,0.17025641025641
41,0.83,0.167307692307692
42,0.83,0.161282051282051
43,0.83,0.16
44,0.83,0.164102564102564
45,0.83,0.164102564102564
46,0.83,0.170128205128205
47,0.83,0.163717948717949
48,0.83,0.173205128205128
49,0.83,0.167051282051282
50,0.83,0.156153846153846
51,0.83,0.160641025641026
52,0.83,0.160769230769231
53,0.83,0.170897435897436
54,0.83,0.172820512820513
55,0.83,0.163974358974359
56,0.83,0.158461538461538
57,0.83,0.173205128205128
58,0.83,0.167179487179487
59,0.83,0.163461538461538
60,0.83,0.171153846153846
61,0.83,0.165128205128205
62,0.83,0.164102564102564
63,0.83,0.169487179487179
64,0.83,0.159487179487179
65,0.83,0.178846153846154
66,0.83,0.166410256410256
67,0.83,0.170384615384615
68,0.83,0.167564102564103
69,0.83,0.157435897435897
70,0.83,0.159487179487179
71,0.83,0.165384615384615
72,0.83,0.161794871794872
73,0.83,0.160384615384615
74,0.83,0.163846153846154
75,0.83,0.173205128205128
76,0.83,0.16474358974359
77,0.83,0.163589743589744
78,0.83,0.168333333333333
79,0.83,0.167179487179487
80,0.83,0.17
81,0.83,0.159230769230769
82,0.83,0.173461538461538
83,0.83,0.156282051282051
84,0.83,0.172564102564103
85,0.83,0.169358974358974
86,0.83,0.170641025641026
87,0.83,0.166153846153846
88,0.83,0.168333333333333
89,0.83,0.160769230769231
90,0.83,0.163846153846154
91,0.83,0.157820512820513
92,0.83,0.157564102564103
93,0.83,0.164230769230769
94,0.83,0.15525641025641
95,0.83,0.165384615384615
96,0.83,0.173589743589744
97,0.83,0.165897435897436
98,0.83,0.165128205128205
99,0.83,0.163205128205128
100,0.83,0.161923076923077
101,0.83,0.172564102564103
102,0.83,0.166666666666667
103,0.83,0.163589743589744
104,0.83,0.173076923076923
105,0.83,0.16
106,0.83,0.167051282051282
107,0.83,0.156410256410256
108,0.83,0.163076923076923
109,0.83,0.163333333333333
110,0.83,0.169358974358974
111,0.83,0.170512820512821
112,0.83,0.161666666666667
113,0.83,0.162435897435897
114,0.83,0.172692307692308
115,0.83,0.158846153846154
116,0.83,0.170641025641026
117,0.83,0.168205128205128
118,0.83,0.166538461538462
119,0.83,0.167435897435897
120,0.83,0.165
121,0.83,0.166025641025641
122,0.83,0.17
123,0.83,0.162564102564103
124,0.83,0.169230769230769
125,0.83,0.168846153846154
126,0.83,0.161282051282051
127,0.83,0.168717948717949
128,0.83,0.175512820512821
129,0.83,0.167179487179487
130,0.83,0.165128205128205
131,0.83,0.165769230769231
132,0.83,0.165128205128205
133,0.83,0.168846153846154
134,0.83,0.174230769230769
135,0.83,0.163974358974359
136,0.83,0.168205128205128
137,0.83,0.163076923076923
138,0.83,0.169615384615385
139,0.83,0.168974358974359
140,0.83,0.16974358974359
141,0.83,0.167564102564103
142,0.83,0.168846153846154
143,0.83,0.169358974358974
144,0.83,0.173846153846154
145,0.83,0.163717948717949
