"simID" "estD" "error"
"1" 1 3.7 -0.32440615277607
"2" 2 3.59285714285714 -0.431549009918927
"3" 3 3.88571428571429 -0.138691867061784
"4" 4 3.57857142857143 -0.445834724204641
"5" 5 3.50714285714286 -0.517263295633213
"6" 6 3.29285714285714 -0.731549009918927
"7" 7 3.43571428571429 -0.588691867061784
"8" 8 3.70714285714286 -0.317263295633213
"9" 9 3.22857142857143 -0.795834724204641
"10" 10 3.43571428571429 -0.588691867061784
"11" 11 3.45714285714286 -0.567263295633213
"12" 12 3.37857142857143 -0.645834724204641
"13" 13 3.80714285714286 -0.217263295633213
"14" 14 3.32857142857143 -0.695834724204641
"15" 15 3.54285714285714 -0.481549009918927
"16" 16 3.5 -0.52440615277607
"17" 17 3.55 -0.47440615277607
"18" 18 3.51428571428571 -0.510120438490356
"19" 19 3.42857142857143 -0.595834724204642
"20" 20 3.44285714285714 -0.581549009918927
"21" 21 3.22857142857143 -0.795834724204641
"22" 22 3.52857142857143 -0.495834724204641
"23" 23 3.58571428571429 -0.438691867061784
"24" 24 3.72857142857143 -0.295834724204641
"25" 25 3.67857142857143 -0.345834724204642
"26" 26 3.40714285714286 -0.617263295633213
"27" 27 3.37857142857143 -0.645834724204641
"28" 28 3.36428571428571 -0.660120438490356
"29" 29 3.62142857142857 -0.402977581347499
"30" 30 3.18571428571429 -0.838691867061784
"31" 31 3.62857142857143 -0.395834724204641
"32" 32 3.46428571428571 -0.560120438490356
"33" 33 3.69285714285714 -0.331549009918927
"34" 34 3.70714285714286 -0.317263295633213
"35" 35 3.58571428571429 -0.438691867061784
"36" 36 3.28571428571429 -0.738691867061784
"37" 37 3.60714285714286 -0.417263295633213
"38" 38 3.58571428571429 -0.438691867061784
"39" 39 3.47857142857143 -0.545834724204641
"40" 40 3.61428571428571 -0.410120438490356
"41" 41 3.44285714285714 -0.581549009918927
"42" 42 3.64285714285714 -0.381549009918927
"43" 43 3.5 -0.52440615277607
"44" 44 3.65 -0.37440615277607
"45" 45 3.87857142857143 -0.145834724204641
"46" 46 3.15714285714286 -0.867263295633213
"47" 47 3.43571428571429 -0.588691867061784
"48" 48 3.15 -0.87440615277607
"49" 49 3.2 -0.82440615277607
"50" 50 3.67857142857143 -0.345834724204642
"51" 51 3.69285714285714 -0.331549009918927
"52" 52 3.75714285714286 -0.267263295633213
"53" 53 3.49285714285714 -0.531549009918927
"54" 54 3.4 -0.62440615277607
"55" 55 3.62142857142857 -0.402977581347499
"56" 56 3.42857142857143 -0.595834724204642
"57" 57 3.55 -0.47440615277607
"58" 58 3.67857142857143 -0.345834724204642
"59" 59 3.75714285714286 -0.267263295633213
"60" 60 3.37857142857143 -0.645834724204641
"61" 61 3.4 -0.62440615277607
"62" 62 3.6 -0.42440615277607
"63" 63 3.39285714285714 -0.631549009918927
"64" 64 3.34285714285714 -0.681549009918927
"65" 65 3.15714285714286 -0.867263295633213
"66" 66 3.86428571428571 -0.160120438490356
"67" 67 3.51428571428571 -0.510120438490356
"68" 68 3.39285714285714 -0.631549009918927
"69" 69 3.52857142857143 -0.495834724204641
"70" 70 3.51428571428571 -0.510120438490356
"71" 71 3.45 -0.57440615277607
"72" 72 3.57857142857143 -0.445834724204641
"73" 73 3.85714285714286 -0.167263295633213
"74" 74 3.80714285714286 -0.217263295633213
"75" 75 3.17142857142857 -0.852977581347499
"76" 76 3.23571428571429 -0.788691867061784
"77" 77 3.65 -0.37440615277607
"78" 78 3.37142857142857 -0.652977581347499
"79" 79 3.49285714285714 -0.531549009918927
"80" 80 3.55 -0.47440615277607
"81" 81 3.57142857142857 -0.452977581347498
"82" 82 3.35714285714286 -0.667263295633213
"83" 83 3.65714285714286 -0.367263295633213
"84" 84 3.48571428571429 -0.538691867061784
"85" 85 3.37857142857143 -0.645834724204641
"86" 86 3.52857142857143 -0.495834724204641
"87" 87 3.37857142857143 -0.645834724204641
"88" 88 3.65 -0.37440615277607
"89" 89 3.81428571428571 -0.210120438490355
"90" 90 3.40714285714286 -0.617263295633213
"91" 91 3.36428571428571 -0.660120438490356
"92" 92 3.44285714285714 -0.581549009918927
"93" 93 3.54285714285714 -0.481549009918927
"94" 94 3.65714285714286 -0.367263295633213
"95" 95 3.59285714285714 -0.431549009918927
"96" 96 3.47857142857143 -0.545834724204641
"97" 97 3.47142857142857 -0.552977581347498
"98" 98 3.5 -0.52440615277607
"99" 99 3.52857142857143 -0.495834724204641
"100" 100 3.47142857142857 -0.552977581347498
"101" 101 3.45714285714286 -0.567263295633213
"102" 102 3.45 -0.57440615277607
"103" 103 3.43571428571429 -0.588691867061784
"104" 104 3.57857142857143 -0.445834724204641
"105" 105 3.22857142857143 -0.795834724204641
"106" 106 3.59285714285714 -0.431549009918927
"107" 107 3.83571428571429 -0.188691867061784
"108" 108 3.49285714285714 -0.531549009918927
"109" 109 3.62142857142857 -0.402977581347499
"110" 110 3.43571428571429 -0.588691867061784
"111" 111 3.43571428571429 -0.588691867061784
"112" 112 3.67857142857143 -0.345834724204642
"113" 113 3.62142857142857 -0.402977581347499
"114" 114 3.67857142857143 -0.345834724204642
"115" 115 3.55714285714286 -0.467263295633213
"116" 116 3.42857142857143 -0.595834724204642
"117" 117 3.56428571428571 -0.460120438490355
"118" 118 3.62857142857143 -0.395834724204641
"119" 119 3.75714285714286 -0.267263295633213
"120" 120 3.33571428571429 -0.688691867061784
"121" 121 3.32857142857143 -0.695834724204641
"122" 122 3.39285714285714 -0.631549009918927
"123" 123 3.62142857142857 -0.402977581347499
"124" 124 3.52857142857143 -0.495834724204641
"125" 125 3.51428571428571 -0.510120438490356
"126" 126 3.5 -0.52440615277607
"127" 127 3.64285714285714 -0.381549009918927
"128" 128 3.53571428571429 -0.488691867061784
"129" 129 3.58571428571429 -0.438691867061784
"130" 130 3.29285714285714 -0.731549009918927
"131" 131 3.15714285714286 -0.867263295633213
"132" 132 3.36428571428571 -0.660120438490356
"133" 133 3.83571428571429 -0.188691867061784
"134" 134 3.47142857142857 -0.552977581347498
"135" 135 3.37142857142857 -0.652977581347499
"136" 136 3.7 -0.32440615277607
"137" 137 3.59285714285714 -0.431549009918927
"138" 138 3.6 -0.42440615277607
"139" 139 3.62857142857143 -0.395834724204641
"140" 140 3.50714285714286 -0.517263295633213
"141" 141 3.27142857142857 -0.752977581347499
"142" 142 3.63571428571429 -0.388691867061784
"143" 143 3.35 -0.67440615277607
"144" 144 3.26428571428571 -0.760120438490356
"145" 145 3.19285714285714 -0.831549009918927
"146" 146 3.5 -0.52440615277607
"147" 147 3.55 -0.47440615277607
"148" 148 3.77857142857143 -0.245834724204641
"149" 149 3.57142857142857 -0.452977581347498
"150" 150 3.7 -0.32440615277607
"151" 151 3.67142857142857 -0.352977581347499
"152" 152 3.54285714285714 -0.481549009918927
"153" 153 3.35 -0.67440615277607
"154" 154 3.63571428571429 -0.388691867061784
"155" 155 3.48571428571429 -0.538691867061784
"156" 156 3.36428571428571 -0.660120438490356
"157" 157 3.39285714285714 -0.631549009918927
"158" 158 3.39285714285714 -0.631549009918927
"159" 159 3.58571428571429 -0.438691867061784
"160" 160 3.31428571428571 -0.710120438490355
"161" 161 3.42857142857143 -0.595834724204642
"162" 162 3.20714285714286 -0.817263295633213
"163" 163 3.53571428571429 -0.488691867061784
"164" 164 3.55714285714286 -0.467263295633213
"165" 165 3.30714285714286 -0.717263295633213
"166" 166 3.51428571428571 -0.510120438490356
"167" 167 3.47142857142857 -0.552977581347498
"168" 168 3.33571428571429 -0.688691867061784
"169" 169 3.47142857142857 -0.552977581347498
"170" 170 3.20714285714286 -0.817263295633213
"171" 171 3.8 -0.22440615277607
"172" 172 3.65 -0.37440615277607
"173" 173 3.23571428571429 -0.788691867061784
"174" 174 3.45 -0.57440615277607
"175" 175 3.55714285714286 -0.467263295633213
"176" 176 3.48571428571429 -0.538691867061784
"177" 177 3.64285714285714 -0.381549009918927
"178" 178 3.56428571428571 -0.460120438490355
"179" 179 3.45714285714286 -0.567263295633213
"180" 180 3.37857142857143 -0.645834724204641
"181" 181 3.42857142857143 -0.595834724204642
"182" 182 3.58571428571429 -0.438691867061784
"183" 183 3.62857142857143 -0.395834724204641
"184" 184 3.7 -0.32440615277607
"185" 185 3.42142857142857 -0.602977581347499
"186" 186 3.51428571428571 -0.510120438490356
"187" 187 3.82142857142857 -0.202977581347498
"188" 188 3.22857142857143 -0.795834724204641
"189" 189 3.33571428571429 -0.688691867061784
"190" 190 3.45 -0.57440615277607
"191" 191 3.58571428571429 -0.438691867061784
"192" 192 3.37142857142857 -0.652977581347499
"193" 193 3.4 -0.62440615277607
"194" 194 3.47857142857143 -0.545834724204641
"195" 195 3.65714285714286 -0.367263295633213
"196" 196 3.37857142857143 -0.645834724204641
"197" 197 3.62142857142857 -0.402977581347499
"198" 198 3.55714285714286 -0.467263295633213
"199" 199 3.50714285714286 -0.517263295633213
"200" 200 3.37857142857143 -0.645834724204641
"201" 201 3.6 -0.42440615277607
"202" 202 3.4 -0.62440615277607
"203" 203 3.35714285714286 -0.667263295633213
"204" 204 3.28571428571429 -0.738691867061784
"205" 205 3.4 -0.62440615277607
"206" 206 3.74285714285714 -0.281549009918927
"207" 207 3.64285714285714 -0.381549009918927
"208" 208 3.38571428571429 -0.638691867061784
"209" 209 3.32857142857143 -0.695834724204641
"210" 210 3.45714285714286 -0.567263295633213
"211" 211 3.61428571428571 -0.410120438490356
"212" 212 3.31428571428571 -0.710120438490355
"213" 213 3.61428571428571 -0.410120438490356
"214" 214 3.5 -0.52440615277607
"215" 215 3.87857142857143 -0.145834724204641
"216" 216 3.65714285714286 -0.367263295633213
"217" 217 3.55714285714286 -0.467263295633213
"218" 218 3.32142857142857 -0.702977581347498
"219" 219 3.77857142857143 -0.245834724204641
"220" 220 3.54285714285714 -0.481549009918927
"221" 221 3.46428571428571 -0.560120438490356
"222" 222 3.69285714285714 -0.331549009918927
"223" 223 3.50714285714286 -0.517263295633213
"224" 224 3.73571428571429 -0.288691867061784
"225" 225 3.32857142857143 -0.695834724204641
"226" 226 3.52857142857143 -0.495834724204641
"227" 227 3.36428571428571 -0.660120438490356
"228" 228 3.4 -0.62440615277607
"229" 229 3.40714285714286 -0.617263295633213
"230" 230 3.4 -0.62440615277607
"231" 231 3.49285714285714 -0.531549009918927
"232" 232 3.50714285714286 -0.517263295633213
"233" 233 3.47857142857143 -0.545834724204641
"234" 234 3.32142857142857 -0.702977581347498
"235" 235 3.25714285714286 -0.767263295633213
"236" 236 3.47142857142857 -0.552977581347498
