"prob.det" "mean_estD" "mean_error" "sd_D"
"1" 0.5 4.99839081967213 -5.00160918032787 0.128782127211679
"2" 0.51 5.10037573770492 -4.89962426229508 0.129133143977514
"3" 0.52 5.20074754098361 -4.79925245901639 0.129950401234815
"4" 0.53 5.30058289473684 -4.69941710526316 0.131372808065409
"5" 0.54 5.40302269736842 -4.59697730263158 0.133452371597972
"6" 0.55 5.49890528052805 -4.50109471947195 0.134038341391806
"7" 0.56 5.60204785478548 -4.39795214521452 0.136229447170665
"8" 0.57 5.69904006622517 -4.30095993377483 0.13543702420991
"9" 0.58 5.80051821192053 -4.19948178807947 0.139623115356349
"10" 0.59 5.89629337748344 -4.10370662251656 0.13960647150721
"11" 0.6 5.99997707641196 -4.00002292358804 0.142930814008072
"12" 0.61 6.10159335548173 -3.89840664451827 0.142695556679056
"13" 0.62 6.199397 -3.800603 0.144676656997815
"14" 0.63 6.29911533333333 -3.70088466666667 0.145711245991092
"15" 0.64 6.39984046822743 -3.60015953177258 0.14572121302465
"16" 0.65 6.49986588628763 -3.50013411371237 0.14537621486292
"17" 0.66 6.59655536912752 -3.40344463087248 0.150474583420553
"18" 0.67 6.6994644295302 -3.3005355704698 0.149353905571402
"19" 0.68 6.80124511784512 -3.19875488215488 0.151376330608475
"20" 0.69 6.90150709459459 -3.09849290540541 0.150668256362039
"21" 0.7 7.00191385135135 -2.99808614864865 0.154755663325598
"22" 0.71 7.09771084745763 -2.90228915254237 0.15650163963379
"23" 0.72 7.20312779661017 -2.79687220338983 0.156842230363133
"24" 0.73 7.3023843537415 -2.6976156462585 0.157427710192148
"25" 0.74 7.40173515358362 -2.59826484641638 0.159398399462426
"26" 0.75 7.50027534246575 -2.49972465753425 0.158723679123308
"27" 0.76 7.60054657534247 -2.39945342465753 0.161720316634607
"28" 0.77 7.69911890034364 -2.30088109965636 0.16114735179662
"29" 0.78 7.79841620689655 -2.20158379310345 0.165583037451272
"30" 0.79 7.90056020761246 -2.09943979238754 0.165923411535695
"31" 0.8 8.00172975778547 -1.99827024221453 0.168778879825897
"32" 0.81 8.09754583333333 -1.90245416666667 0.169256567417113
"33" 0.82 8.19781045296167 -1.80218954703833 0.167147042962119
"34" 0.83 8.30144125874126 -1.69855874125874 0.172683450577166
"35" 0.84 8.40203228070176 -1.59796771929825 0.171159264289206
"36" 0.85 8.50253732394366 -1.49746267605634 0.17476624812855
"37" 0.86 8.60094240282685 -1.39905759717314 0.175714740297907
"38" 0.87 8.69778612099644 -1.30221387900356 0.176741617643625
"39" 0.88 8.80089428571429 -1.19910571428571 0.178436060153671
"40" 0.89 8.90002724014337 -1.09997275985663 0.179075039170991
"41" 0.9 9.00190722021661 -0.998092779783394 0.181117802294
"42" 0.91 9.09860072727273 -0.901399272727273 0.181590501198052
"43" 0.92 9.20209304029304 -0.79790695970696 0.184528178649037
"44" 0.93 9.30487380073801 -0.695126199261993 0.18508800609476
"45" 0.94 9.40538513011152 -0.594614869888476 0.184860492525949
"46" 0.95 9.49623947368421 -0.503760526315789 0.186979627180381
"47" 0.96 9.59655399239544 -0.403446007604563 0.187727659683422
"48" 0.97 9.69973359073359 -0.300266409266409 0.191168699682586
"49" 0.98 9.79819249011858 -0.201807509881423 0.197317123529446
"50" 0.99 9.89741557377049 -0.102584426229508 0.2025507740273
