"","n_obs","est_D","est_sigm","est_p","ER","se.ER","error"
"1",433,0.139462653228779,10.8685437966548,0.875156631819331,2.44103331728571,0.116390626723862,-0.00702659895830934
"2",452,0.153200056463372,9.13637409623639,0.831639913382739,2.54814563374859,0.0801237921077844,0.00671080427628404
"3",483,0.189504206918757,8.58209256222539,0.718429389660105,2.72290783429329,0.163754296513597,0.0430149547316687
"4",485,0.166311767417114,8.83637389404294,0.822005218703554,2.7341828149736,0.124982029269419,0.0198225152300265
"5",469,0.177820395891651,9.43870025462374,0.743441987144769,2.64398296953117,0.158302093949788,0.031331143704563
"6",441,0.156124124985108,8.13236822174783,0.796204058867922,2.48613324000692,0.131819665900341,0.00963487279802036
"7",435,0.155125682263928,7.99123399873191,0.790426273127905,2.45230829796601,0.166353733516012,0.00863643007684031
"8",479,0.172648324934477,7.79546210032549,0.782039986185075,2.70035787293269,0.134711249635874,0.0261590727473885
"9",426,0.131289990694701,13.4135047864746,0.91460547456706,2.40157088490464,0.102177082433623,-0.0151992614923866
"10",427,0.146071098400236,8.8961610988496,0.823985169416959,2.4072083752448,0.136119419431918,-0.000418153786851894
"11",444,0.141435959270412,11.376225943074,0.884868927230093,2.50304571102737,0.12627852524475,-0.00505329291667581
"12",444,0.156590985594641,8.20847664598252,0.799230460655913,2.50304571102737,0.144747436137223,0.0101017334075534
"13",417,0.160538345765546,8.41449163180113,0.732171949521794,2.35083347184328,0.0802228939293461,0.0140490935784584
"14",457,0.161334889026956,10.9465713836674,0.798442637233567,2.57633308544935,0.0848905717425689,0.0148456368398676
"15",494,0.162461805643925,10.0596694235479,0.857099986361964,2.78492022803496,0.117612965548834,0.0159725534568368
"16",459,0.16201770216772,8.19141134910056,0.798557204400716,2.58760806612965,0.0819862451049983,0.0155284499806324
"17",458,0.158349706009038,8.63981214728338,0.815274824584181,2.5819705757895,0.14706179937929,0.0118604538219498
"18",426,0.14551893661759,8.93252965335706,0.825174695722162,2.40157088490464,0.116867499887039,-0.000970315569498309
"19",449,0.1404097077952,12.3974556618871,0.901373987053715,2.53123316272813,0.110399852935089,-0.00607954439188776
"20",401,0.141443270572453,8.20594692772744,0.799130851984529,2.26063362640085,0.15247301072903,-0.0050459816146351
"21",441,0.141679306312004,10.9796939681107,0.877380509801481,2.48613324000692,0.115327676360988,-0.00480994587508426
"22",461,0.142529945846182,13.1713724735392,0.911697198571402,2.59888304680995,0.0999760872006561,-0.00395930634090608
"23",442,0.155269349922129,8.28994313046491,0.802402641473269,2.49177073034707,0.177267475133714,0.00878009773504096
"24",457,0.146588300710006,11.0503513385556,0.878764905852236,2.57633308544935,0.149791841963188,9.90485229177551e-05
"25",460,0.145268358690118,11.824606596068,0.892570680860255,2.5932455564698,0.126686838915211,-0.00122089349697016
"26",492,0.164088552943985,9.60043118637196,0.845167197099208,2.77364524735466,0.120185688161677,0.0175993007568973
"27",444,0.148764342264771,9.46139686104269,0.841278787954593,2.50304571102737,0.125995071407514,0.00227509007768292
"28",463,0.137862933775736,17.2408544289013,0.946649674428172,2.61015802749026,0.143285442661167,-0.0086263184113522
"29",412,0.144611725970175,8.30712167387341,0.803062823764907,2.32264602014252,0.105881313908681,-0.0018775262169127
"30",470,0.158930005121648,9.1997074880977,0.833580939559918,2.64962045987132,0.13576874623593,0.0124407529345601
"31",440,0.141806336417447,10.8414983426612,0.874606809657902,2.48049574966677,0.0864210904455417,-0.00468291576964103
"32",427,0.138550384194183,10.5617821342976,0.868712269996675,2.4072083752448,0.108987429913132,-0.00793886799290539
"33",448,0.139915340292165,12.4791742693274,0.902544233932516,2.52559567238798,0.124791168334538,-0.00657391189492329
"34",448,0.147001719103247,8.52207465757248,0.859036101004412,2.52559567238798,0.170131762314179,0.000512466916158943
"35",424,0.143802091671541,9.11913414973833,0.831106097428692,2.39029590422434,0.113906604888119,-0.00268716051554746
"36",449,0.152118058276824,9.14792546367642,0.831996276905467,2.53123316272813,0.0958373357825796,0.00562880608973626
"37",447,0.155444394004452,8.50804971955484,0.810565796916312,2.51995818204783,0.0993382747112711,0.00895514181736359
"38",438,0.139635514664102,11.337475668832,0.884166458270397,2.46922076898646,0.107297599971826,-0.00685373752298588
"39",440,0.136236146495893,13.0643893797206,0.910366232995864,2.48049574966677,0.0958373357825797,-0.0102531056911953
"40",395,0.134837752536281,8.94982108724306,0.825736354423724,2.22680868435994,0.131940159221569,-0.0116514996508069
"41",482,0.141530752168423,20.0277546537633,0.959957571877931,2.71727034395314,0.127997104562366,-0.00495850001866452
"42",485,0.154310863872304,11.4355932983226,0.885933351146361,2.7341828149736,0.117308574904764,0.00782161168521561
"43",422,0.131539151757405,12.6045836359338,0.904301453886373,2.37902092354404,0.1322108676865,-0.0149501004296828
"44",461,0.154585883393636,9.4374470146708,0.840595204994296,2.59888304680995,0.105881313908681,0.00809663120654802
"45",448,0.145382446375696,10.5568150372442,0.868604063059083,2.52559567238798,0.0519750928185882,-0.00110680581139166
