simID,n_obs,est_D,est_sigm,est_p,ER,se.ER,error
69,698,4.238142742,1.180964656,0.673192127,11.4123373,0.50106243,0.213736589
70,702,4.403459825,1.124564183,0.651631783,11.47773751,0.498110203,0.379053672
71,663,4.248249645,1.090723169,0.637914808,10.84008543,0.382371452,0.223843492
72,655,4.034140725,1.155526864,0.663665805,10.709285,0.442535938,0.009734573
73,687,3.983063593,1.272836894,0.705015527,11.23248671,0.447672004,-0.04134256
74,691,3.972393136,1.291549176,0.711025227,11.29788693,0.464130642,-0.052013017
75,687,4.243829811,1.150369791,0.661695168,11.23248671,0.395874394,0.219423658
76,646,4.041325149,1.128993185,0.653383119,10.56213452,0.400308705,0.016918996
77,672,4.224796534,1.120870793,0.650163613,10.98723591,0.398138243,0.200390381
78,631,3.798765589,1.196803259,0.678962908,10.31688372,0.327972173,-0.225640563
79,673,3.878942435,1.285775364,0.709187243,11.00358596,0.476014247,-0.145463717
80,675,4.078671339,1.189901659,0.676463311,11.03628607,0.410551516,0.054265186
81,657,3.957965817,1.195531839,0.678504161,10.74198511,0.409607408,-0.066440336
82,657,4.219254056,1.087281017,0.636486033,10.74198511,0.396572339,0.194847903
83,636,3.60601534,1.247251658,0.72092275,10.39863399,0.482773106,-0.418390813
84,691,4.234683884,1.164293783,0.66698526,11.29788693,0.507941701,0.210277731
85,670,4.005627756,1.210050741,0.683696568,10.9545358,0.55966979,-0.018778397
86,640,3.897561275,1.175549825,0.671191128,10.4640342,0.472895929,-0.126844878
87,666,3.853471133,1.128962885,0.706449796,10.88913559,0.453228021,-0.17093502
88,641,3.868189984,1.192326619,0.677344203,10.48038425,0.313310241,-0.156216169
89,703,4.123760601,1.248066318,0.696820735,11.49408757,0.475432938,0.099354449
90,702,4.37520097,1.135251287,0.655840588,11.47773751,0.339666687,0.350794817
91,650,3.527449744,1.142405251,0.75320242,10.62753474,0.461051914,-0.496956409
92,733,4.923247002,1.186936542,0.608571394,11.98458917,0.473684731,0.89884085
